State,rollout_date,post_start,post_end,Uptake270_per100
AN,2021-01-16,2022-01-06,2022-04-06,8425.16957605985
AP,2021-01-16,2022-01-06,2022-04-06,5241.390508808114
AR,2021-01-16,2022-01-06,2022-04-06,6295.736369551074
AS,2021-01-16,2022-01-06,2022-04-06,4600.382597070118
BR,2021-01-16,2022-01-06,2022-04-06,3086.874133958527
CH,2021-01-16,2022-01-06,2022-04-06,8183.245627062706
CT,2021-01-16,2022-01-06,2022-04-06,5104.390738676664
DL,2021-01-16,2022-01-06,2022-04-06,6314.174670337632
DN,2021-01-16,2022-01-06,2022-04-06,6754.12012635379
GJ,2021-01-16,2022-01-06,2022-04-06,6507.340469496969
HP,2021-01-16,2022-01-06,2022-04-06,9058.191749932488
HR,2021-01-16,2022-01-06,2022-04-06,5602.650442507769
JH,2021-01-16,2022-01-06,2022-04-06,3513.6383000750575
JK,2021-01-16,2022-01-06,2022-04-06,6381.646413690476
KA,2021-01-16,2022-01-06,2022-04-06,6127.9617890305435
KL,2021-01-16,2022-01-06,2022-04-06,7387.700548723865
LA,2021-01-16,2022-01-06,2022-04-06,10294.594295302013
LD,2021-01-16,2022-01-06,2022-04-06,11527.970588235294
MH,2021-01-16,2022-01-06,2022-04-06,4764.382598868245
ML,2021-01-16,2022-01-06,2022-04-06,3945.818907435508
MN,2021-01-16,2022-01-06,2022-04-06,4593.287358133669
MP,2021-01-16,2022-01-06,2022-04-06,5278.975269856234
MZ,2021-01-16,2022-01-06,2022-04-06,7554.078506972928
NL,2021-01-16,2022-01-06,2022-04-06,3902.2021383075526
OR,2021-01-16,2022-01-06,2022-04-06,4957.8393531762495
PB,2021-01-16,2022-01-06,2022-04-06,4481.608646888567
PY,2021-01-16,2022-01-06,2022-04-06,5325.057386363636
RJ,2021-01-16,2022-01-06,2022-04-06,5699.231033529382
SK,2021-01-16,2022-01-06,2022-04-06,10351.893215339232
TN,2021-01-16,2022-01-06,2022-04-06,4235.163910354477
TR,2021-01-16,2022-01-06,2022-04-06,8656.954716981132
UP,2021-01-16,2022-01-06,2022-04-06,3183.010033922591
UT,2021-01-16,2022-01-06,2022-04-06,6993.163231051665
WB,2021-01-16,2022-01-06,2022-04-06,4080.0490532634685
