State,WeekStart,New_Confirmed_wk,New_Deceased_wk,Cases_lag,CFR,CFR_wins,InfectionWeek,Population,Cases_per100k,rollout_date,post_start,post_end,Uptake270_per100,CalendarWeek,EventWeek,post_start_w,post_end_w,Post,PostWeek,PreWeek
AN,2022-01-17,720,0,407.0,0.0,0.0,2022-01-03,401000,179.55112219451374,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-11/2022-01-17,50,50,63,True,0,
AN,2022-01-24,411,0,496.0,0.0,0.0,2022-01-10,401000,102.49376558603491,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-18/2022-01-24,51,50,63,True,1,
AN,2022-01-31,138,0,720.0,0.0,0.0,2022-01-17,401000,34.413965087281795,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-25/2022-01-31,52,50,63,True,2,
AN,2022-02-07,66,0,411.0,0.0,0.0,2022-01-24,401000,16.458852867830426,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-01/2022-02-07,53,50,63,True,3,
AN,2022-02-14,24,0,138.0,0.0,0.0,2022-01-31,401000,5.985037406483791,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-08/2022-02-14,54,50,63,True,4,
AP,2021-10-25,2873,30,3220.0,0.009316770186335404,0.009316770186335404,2021-10-11,52849000,5.436242880659994,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-10-19/2021-10-25,38,50,63,False,0,0.0
AP,2021-11-01,1791,24,3105.0,0.007729468599033816,0.007729468599033816,2021-10-18,52849000,3.3889004522318302,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-10-26/2021-11-01,39,50,63,False,0,1.0
AP,2021-11-08,1737,18,2873.0,0.006265227984684998,0.006265227984684998,2021-10-25,52849000,3.2867225491494634,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-02/2021-11-08,40,50,63,False,0,2.0
AP,2021-11-15,1266,11,1791.0,0.006141820212171971,0.006141820212171971,2021-11-01,52849000,2.395504172264376,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-09/2021-11-15,41,50,63,False,0,3.0
AP,2021-11-22,1380,12,1737.0,0.0069084628670120895,0.0069084628670120895,2021-11-08,52849000,2.6112130787715944,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-16/2021-11-22,42,50,63,False,0,4.0
AP,2021-11-29,1106,14,1266.0,0.011058451816745656,0.011058451816745656,2021-11-15,52849000,2.0927548297981042,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-23/2021-11-29,43,50,63,False,0,5.0
AP,2021-12-06,1138,14,1380.0,0.010144927536231883,0.010144927536231883,2021-11-22,52849000,2.1533046982913584,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-30/2021-12-06,44,50,63,False,0,6.0
