,estimate
0,0.02822903715890686
1,-0.0083494578177018
2,-0.0015855341219002984
3,-0.006260216000720579
4,-0.013041424634626406
5,0.0005825742149146366
6,0.007290764194217789
7,0.005287045772253654
8,0.0014319537642711248
9,0.016278864066811387
10,0.023263659399940562
11,-0.007972709269437241
12,-0.00011343874191126701
13,0.0014099788861924117
14,0.020348645328357517
15,0.013634474072234237
16,-0.0002604061670175217
17,-0.0007312468775124098
18,0.0030974271822885907
19,-0.008626228438046321
20,-0.0031154060607101216
21,0.021395416811679148
22,-0.00396636183903597
23,0.05309866780658168
24,-0.0018890807331322017
25,0.004064560982785331
26,0.021306599673830993
27,-0.008948368513579708
28,0.01988470164073001
29,0.029146934707518432
30,0.01186897716054408
31,-0.003685754705900943
32,0.0008631725988662584
33,-0.001232257139800142
34,0.008266087684537559
35,0.009188206363943848
36,0.0028650697740548515
37,0.004151284449674595
38,0.00198606742389287
39,-8.043563406752397e-05
40,0.0003863911833846892
41,-0.00394064805255137
42,-0.00023088351433075017
43,0.0016622817918834285
44,0.0030785337326819056
45,-0.0009006845486231663
46,-0.0007541896387598486
47,-0.0006581564406717849
48,-0.0046562106502219675
49,-0.009446603382590055
50,-0.00886072688207684
51,-0.008981644728858672
52,-0.01320931915376495
53,0.01110426843506592
54,0.03270442968257996
55,0.012598360136393736
56,-0.02183975873921414
57,0.001714046906505875
58,-1.1681568207982322e-05
59,1.0941576857287452e-07
60,5.8457914210188915e-06
