term,estimate,pvalue
Intercept,0.01980879413225456,1.7517254830460785e-06
C(State)[T.AP],-0.0053036144586406965,3.097029887700906e-10
C(State)[T.AR],-0.001588744112333095,0.03807499427934052
C(State)[T.AS],3.640634024090975e-05,0.95360442619315
C(State)[T.BR],-0.0018246519019660644,0.17666681017244387
C(State)[T.CH],0.002439464046302447,0.15667856046774298
C(State)[T.CT],0.0016004543531034916,0.009611420731148772
C(State)[T.DL],-0.003106448141886254,0.0018882745221437684
C(State)[T.DN],-0.00035782860017711875,0.6377949505101657
C(State)[T.GJ],-0.00268358677040182,0.004903458871269602
C(State)[T.HP],0.003663273142139301,0.022154356785340796
C(State)[T.HR],-0.00153109353101996,0.07686531127819723
C(State)[T.JH],-0.004081621149135534,8.270482085836723e-07
C(State)[T.JK],-0.002075587820271334,0.01826568499021994
C(State)[T.KA],-0.00030198996159607654,0.7103835112308361
C(State)[T.KL],0.03643947516619963,1.2014432123478163e-20
C(State)[T.LA],-0.0005964679274169298,0.730752588618323
C(State)[T.LD],0.0034834299353467247,0.1175025121993876
C(State)[T.MH],0.015834348963234317,1.0545880106671112e-25
C(State)[T.ML],0.008041247115896495,1.0790648430639884e-14
C(State)[T.MN],0.011300294011698632,9.60664201361409e-21
C(State)[T.MP],-0.004387098509597002,5.964142379677235e-06
C(State)[T.MZ],-0.004837451993127111,0.14599329021456622
C(State)[T.NL],0.015126999088717303,3.841141602551414e-17
C(State)[T.OR],-0.004565801120493563,3.990136190438567e-09
C(State)[T.PB],0.02147057491657863,9.572003235650117e-30
C(State)[T.PY],-0.0006947921945433795,0.6168337461601294
C(State)[T.RJ],-0.0015496211483848768,0.08079220922216103
C(State)[T.SK],0.010092038614274964,1.734707957502724e-13
C(State)[T.TN],-0.003937700755131309,1.1009458059851333e-08
C(State)[T.TR],0.011270203287046766,4.925373100344948e-20
C(State)[T.UP],-0.0005768790356452988,0.7576047761363212
C(State)[T.UT],0.0018948163164988893,0.06393824851375679
C(State)[T.WB],-0.0010617111904352634,0.06976242878154827
C(CalendarWeek)[T.2021-10-26/2021-11-01],-0.002269732551055568,0.3612819413747883
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.0030502369639796877,0.28579941240333
C(CalendarWeek)[T.2021-11-09/2021-11-15],0.00372291835339633,0.2632298866194358
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.0008295947556381769,0.783045377194207
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.0006649683058307641,0.8413669005028857
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.0026038292354810103,0.36527253075336463
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.0013762247046530587,0.6753822935444382
C(CalendarWeek)[T.2021-12-14/2021-12-20],0.0015387320823291295,0.6753562840350754
C(CalendarWeek)[T.2021-12-21/2021-12-27],0.0012819440322871284,0.6392734697785796
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.01358072214042043,0.0026391371085022902
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.008432841512909735,0.03972797023169082
C(CalendarWeek)[T.2022-01-11/2022-01-17],-0.006195023064785362,0.12126322148452712
C(CalendarWeek)[T.2022-01-18/2022-01-24],-0.01015091601635162,0.001776610925269754
C(CalendarWeek)[T.2022-01-25/2022-01-31],-0.011794745277883077,1.4230727094674229e-05
C(CalendarWeek)[T.2022-02-01/2022-02-07],-0.01143015602931438,1.0783004466171024e-05
C(CalendarWeek)[T.2022-02-08/2022-02-14],-0.010926238562596106,7.218540914029414e-05
C(CalendarWeek)[T.2022-02-15/2022-02-21],-0.009285445116288704,0.0007597198896565759
C(CalendarWeek)[T.2022-02-22/2022-02-28],-0.007864819173592386,0.002367079754839532
C(CalendarWeek)[T.2022-03-01/2022-03-07],-0.006746958616844857,0.009243639862694896
C(CalendarWeek)[T.2022-03-08/2022-03-14],-0.003392668958849997,0.16457175759410034
C(CalendarWeek)[T.2022-03-15/2022-03-21],0.015424811271470764,0.3740392385714112
C(CalendarWeek)[T.2022-03-22/2022-03-28],-0.0022719390714050396,0.3753526786900192
C(CalendarWeek)[T.2022-03-29/2022-04-04],-0.00018590310950736873,0.9037925056671836
C(CalendarWeek)[T.2022-04-05/2022-04-11],0.0039053772858491076,0.3204450682771667
C(CalendarWeek)[T.2022-04-12/2022-04-18],0.00902665734256294,0.12570483433538404
PostWeek,-0.0014519821140441234,0.21252117249735059
Uptake270_per100,-1.031510525157984e-06,0.006741491583483325
PostWeek:Uptake270_per100,1.1476055003473784e-07,0.4761210867100899
Cases_per100k,-7.157984178637952e-07,0.9457138990667032
