term,estimate,pvalue
Intercept,0.02009678395710674,0.14096766100644142
C(State)[T.AP],-0.018069512706455362,1.8667782469173472e-05
C(State)[T.AR],-0.009842508597110246,0.1739425568135236
C(State)[T.AS],-0.010787263081554217,2.9032594028928125e-18
C(State)[T.BR],-0.02030091324268321,8.268822658589082e-06
C(State)[T.CH],-0.013496920492036778,0.10303434402691215
C(State)[T.CT],0.00656092036643466,0.28268651228766695
C(State)[T.DL],0.004275526365639766,0.5797421388201702
C(State)[T.GJ],-0.0036057550860024296,0.6136194729652462
C(State)[T.HP],0.006842413120089404,0.5884585610120978
C(State)[T.HR],0.0723519147858287,2.551399200247958e-13
C(State)[T.JH],-0.006066385973742771,0.005402194779443358
C(State)[T.JK],-0.011356223789372104,0.12838081027922968
C(State)[T.KA],-0.008641338962170057,0.16280079645321763
C(State)[T.KL],0.004801571273322173,0.750499788491931
C(State)[T.LA],-0.007856989647664344,0.6625439388794196
C(State)[T.MH],-0.012248254788041885,0.0029972384590656077
C(State)[T.ML],-0.007907399114879973,0.00026154700640960597
C(State)[T.MN],-0.003741421249158611,0.02248410474944547
C(State)[T.MP],-0.010528922656057704,0.07000823901950948
C(State)[T.MZ],-0.023562503773965487,0.27006705645403856
C(State)[T.NL],0.01608547205388603,3.0909978157649956e-06
C(State)[T.OR],-0.015331526629591304,0.00015380405692847198
C(State)[T.PB],0.07336640065617259,5.682362972832938e-27
C(State)[T.PY],-0.0035803378584394947,0.5035387765794788
C(State)[T.RJ],0.010028811186561343,0.22357692059690654
C(State)[T.SK],0.0060722724750544126,0.7515382556489754
C(State)[T.TN],-0.018173328538646893,1.810667143426235e-18
C(State)[T.TR],0.007177619189215676,0.6475401238799048
C(State)[T.UP],0.03421302790440416,6.481965435658784e-14
C(State)[T.UT],0.008729498297585979,0.28793086572955967
C(State)[T.WB],-0.012634061827109234,8.430947090551255e-08
C(CalendarWeek)[T.2021-08-10/2021-08-16],0.0008832732290985851,0.5948859695446005
C(CalendarWeek)[T.2021-08-17/2021-08-23],0.00985546348959274,0.24803741306941104
C(CalendarWeek)[T.2021-08-24/2021-08-30],0.009730803805188891,0.18234909004278851
C(CalendarWeek)[T.2021-08-31/2021-09-06],0.0015633776287711882,0.7614763043116587
C(CalendarWeek)[T.2021-09-07/2021-09-13],0.017481820526252898,0.35157428999446816
C(CalendarWeek)[T.2021-09-14/2021-09-20],0.003245794189968401,0.41816462414137434
C(CalendarWeek)[T.2021-09-21/2021-09-27],0.019908699985217868,0.32012414070035833
C(CalendarWeek)[T.2021-09-28/2021-10-04],0.0026612502440695636,0.33284345614139343
C(CalendarWeek)[T.2021-10-05/2021-10-11],0.0005456108142418913,0.8282621948770899
C(CalendarWeek)[T.2021-10-12/2021-10-18],0.000648528618372728,0.825385462245718
C(CalendarWeek)[T.2021-10-19/2021-10-25],0.005340584291757633,0.1258660414940857
C(CalendarWeek)[T.2021-10-26/2021-11-01],0.006152814794447825,0.09754168443513356
C(CalendarWeek)[T.2021-11-02/2021-11-08],0.0050456134544077675,0.20066463142899837
C(CalendarWeek)[T.2021-11-09/2021-11-15],0.00021654386968446092,0.9413303961896985
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.005128943197053525,0.22508741110969943
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.006073579425033409,0.170830187307097
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.018868911828252996,0.0030028064841436533
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.019436007147372383,0.004393383968227397
C(CalendarWeek)[T.2021-12-14/2021-12-20],-0.02142929222975391,0.010584967543400861
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.028840538531054574,0.0004413024410545975
C(CalendarWeek)[T.2021-12-28/2022-01-03],-0.017485586051745446,0.012989196775318585
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.04449866659987192,0.011487059734866122
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.08024248174946035,0.003296325276265431
C(CalendarWeek)[T.2022-01-18/2022-01-24],0.009637916680799705,0.37601042621905134
C(CalendarWeek)[T.2022-01-25/2022-01-31],-0.050336048947476925,9.306019150683127e-05
PostWeek,0.005677652649740627,0.011778707211994439
Uptake180_per100,-6.222780172122112e-06,0.4937451760231848
PostWeek:Uptake180_per100,-7.154566720773946e-07,0.41109412468291795
Cases_per100k,2.0963748638051178e-05,0.5977565395739284
