State,WeekStart,New_Confirmed_wk,New_Deceased_wk,Cases_lag,CFR,CFR_wins,InfectionWeek,Population,Cases_per100k,rollout_date,post_start,post_end,Uptake270_per100,CalendarWeek,EventWeek,post_start_w,post_end_w,Post,PostWeek,PreWeek
AN,2022-01-24,411,0,407.0,0.0,0.0,2022-01-03,401000,102.49376558603491,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-18/2022-01-24,50,50,63,True,0,
AN,2022-01-31,138,0,496.0,0.0,0.0,2022-01-10,401000,34.413965087281795,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-01-25/2022-01-31,51,50,63,True,1,
AN,2022-02-07,66,0,720.0,0.0,0.0,2022-01-17,401000,16.458852867830426,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-01/2022-02-07,52,50,63,True,2,
AN,2022-02-14,24,0,411.0,0.0,0.0,2022-01-24,401000,5.985037406483791,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-08/2022-02-14,53,50,63,True,3,
AN,2022-02-21,12,0,138.0,0.0,0.0,2022-01-31,401000,2.9925187032418954,2021-01-16,2022-01-06,2022-04-06,8425.16957605985,2022-02-15/2022-02-21,54,50,63,True,4,
AP,2021-11-01,1791,24,3220.0,0.007453416149068323,0.007453416149068323,2021-10-11,52849000,3.3889004522318302,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-10-26/2021-11-01,38,50,63,False,0,0.0
AP,2021-11-08,1737,18,3105.0,0.005797101449275362,0.005797101449275362,2021-10-18,52849000,3.2867225491494634,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-02/2021-11-08,39,50,63,False,0,1.0
AP,2021-11-15,1266,11,2873.0,0.0038287504350852765,0.0038287504350852765,2021-10-25,52849000,2.395504172264376,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-09/2021-11-15,40,50,63,False,0,2.0
AP,2021-11-22,1380,12,1791.0,0.006700167504187605,0.006700167504187605,2021-11-01,52849000,2.6112130787715944,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-16/2021-11-22,41,50,63,False,0,3.0
AP,2021-11-29,1106,14,1737.0,0.008059873344847437,0.008059873344847437,2021-11-08,52849000,2.0927548297981042,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-23/2021-11-29,42,50,63,False,0,4.0
AP,2021-12-06,1138,14,1266.0,0.011058451816745656,0.011058451816745656,2021-11-15,52849000,2.1533046982913584,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-11-30/2021-12-06,43,50,63,False,0,5.0
AP,2021-12-13,936,13,1380.0,0.009420289855072464,0.009420289855072464,2021-11-22,52849000,1.7710836534276901,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-07/2021-12-13,44,50,63,False,0,6.0
AP,2021-12-20,688,11,1106.0,0.009945750452079566,0.009945750452079566,2021-11-29,52849000,1.3018221726049688,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-14/2021-12-20,45,50,63,False,0,7.0
AP,2021-12-27,994,7,1138.0,0.006151142355008787,0.006151142355008787,2021-12-06,52849000,1.8808302900717135,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-21/2021-12-27,46,50,63,False,0,8.0
AP,2022-01-03,4373,8,936.0,0.008547008547008548,0.008547008547008548,2021-12-13,52849000,8.27451796628129,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2021-12-28/2022-01-03,47,50,63,False,0,9.0
AP,2022-01-10,24421,5,688.0,0.007267441860465116,0.007267441860465116,2021-12-20,52849000,46.20901057730515,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-01-04/2022-01-10,48,50,63,False,0,10.0
AP,2022-01-17,74354,32,994.0,0.03219315895372234,0.03219315895372234,2021-12-27,52849000,140.69140381085737,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-01-11/2022-01-17,49,50,63,False,0,11.0
AP,2022-01-24,89857,64,4373.0,0.014635261833981249,0.014635261833981249,2022-01-03,52849000,170.02592291244866,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-01-18/2022-01-24,50,50,63,True,0,
AP,2022-01-31,32964,58,24421.0,0.002375005118545514,0.002375005118545514,2022-01-10,52849000,62.37393328161365,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-01-25/2022-01-31,51,50,63,True,1,
AP,2022-02-07,9323,33,74354.0,0.0004438227936627485,0.0004438227936627485,2022-01-17,52849000,17.640825748831578,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-02-01/2022-02-07,52,50,63,True,2,
AP,2022-02-14,3507,16,89857.0,0.00017806069643989895,0.00017806069643989895,2022-01-24,52849000,6.635887150182595,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-02-08/2022-02-14,53,50,63,True,3,
AP,2022-02-21,1456,13,32964.0,0.00039436961533794444,0.00039436961533794444,2022-01-31,52849000,2.755019016443074,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-02-15/2022-02-21,54,50,63,True,4,
AP,2022-02-28,676,3,9323.0,0.0003217848332081948,0.0003217848332081948,2022-02-07,52849000,1.2791159719199985,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-02-22/2022-02-28,55,50,63,True,5,
AP,2022-03-07,441,1,3507.0,0.00028514399771884804,0.00028514399771884804,2022-02-14,52849000,0.8344528751726618,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-03-01/2022-03-07,56,50,63,True,6,
AP,2022-03-14,372,0,1456.0,0.0,0.0,2022-02-21,52849000,0.703892221234082,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-03-08/2022-03-14,57,50,63,True,7,
AP,2022-03-21,245,0,676.0,0.0,0.0,2022-02-28,52849000,0.4635849306514787,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-03-15/2022-03-21,58,50,63,True,8,
AP,2022-03-28,102,0,441.0,0.0,0.0,2022-03-07,52849000,0.19300270582224827,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-03-22/2022-03-28,59,50,63,True,9,
AP,2022-04-04,35,0,372.0,0.0,0.0,2022-03-14,52849000,0.06622641866449697,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-03-29/2022-04-04,60,50,63,True,10,
AP,2022-04-11,33,0,245.0,0.0,0.0,2022-03-21,52849000,0.06244205188366857,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-04-05/2022-04-11,61,50,63,True,11,
AP,2022-04-18,17,0,102.0,0.0,0.0,2022-03-28,52849000,0.03216711763704138,2021-01-16,2022-01-06,2022-04-06,5241.390508808114,2022-04-12/2022-04-18,62,50,63,True,12,
