,estimate
0,0.03182194435502533
1,0.0032595935592712034
2,-0.007767154515051489
3,-0.0004747663745086649
4,-0.005818311911043358
5,-0.013985948544426146
6,0.0009621274759179341
7,0.007990579068313717
8,0.0059500707812788906
9,0.0021095126791252005
10,0.017235722429994698
11,0.02393352753966984
12,-0.007548335679987971
13,0.0006138879164019778
14,0.002045792174000835
15,0.02080299249165691
16,0.01179160829862112
17,0.0002912900871126162
18,-0.00036485024216653824
19,0.0035381974616764704
20,-0.007884107931408667
21,-0.0027948848837339303
22,0.021310342682939652
23,-0.003385659082890899
24,0.05361770394197326
25,-0.001373648724697046
26,0.004846021973665183
27,0.0245171876905005
28,-0.008527872865729764
29,0.023084125248835366
30,0.02854844287746743
31,0.012816876247554392
32,-0.003176229987320372
33,0.0009127081656003649
34,-0.0011701492457056185
35,0.00827758129603962
36,0.009234296410479004
37,0.0029676205878055783
38,0.004155353748725948
39,0.001979282006751918
40,-4.895331771917651e-06
41,0.0008844714536516015
42,-0.003825646972137068
43,-2.6452191651864243e-05
44,-0.009981026511711824
45,-0.006378981266257395
46,-0.008738255014573355
47,-0.00656120067614105
48,-0.004396834107191046
49,-0.0066458470711768984
50,-0.009465102586503968
51,-0.007052498192397477
52,-0.005405012094451467
53,-0.00758616273390797
54,0.01868303387949304
55,0.04201905583303076
56,0.023675763368926312
57,-0.008907339268208594
58,-1.4083664383873045e-05
59,4.649733641171839e-06
60,7.242640943812069e-06
