Date_YMD,AN_Confirmed,AN_Deceased,AN_Recovered,AP_Confirmed,AP_Deceased,AP_Recovered,AR_Confirmed,AR_Deceased,AR_Recovered,AS_Confirmed,AS_Deceased,AS_Recovered,BR_Confirmed,BR_Deceased,BR_Recovered,CH_Confirmed,CH_Deceased,CH_Recovered,CT_Confirmed,CT_Deceased,CT_Recovered,DL_Confirmed,DL_Deceased,DL_Recovered,DN_Confirmed,DN_Deceased,DN_Recovered,GA_Confirmed,GA_Deceased,GA_Recovered,GJ_Confirmed,GJ_Deceased,GJ_Recovered,HP_Confirmed,HP_Deceased,HP_Recovered,HR_Confirmed,HR_Deceased,HR_Recovered,JH_Confirmed,JH_Deceased,JH_Recovered,JK_Confirmed,JK_Deceased,JK_Recovered,KA_Confirmed,KA_Deceased,KA_Recovered,KL_Confirmed,KL_Deceased,KL_Recovered,LA_Confirmed,LA_Deceased,LA_Recovered,LD_Confirmed,LD_Deceased,LD_Recovered,MH_Confirmed,MH_Deceased,MH_Recovered,ML_Confirmed,ML_Deceased,ML_Recovered,MN_Confirmed,MN_Deceased,MN_Recovered,MP_Confirmed,MP_Deceased,MP_Recovered,MZ_Confirmed,MZ_Deceased,MZ_Recovered,NL_Confirmed,NL_Deceased,NL_Recovered,OR_Confirmed,OR_Deceased,OR_Recovered,PB_Confirmed,PB_Deceased,PB_Recovered,PY_Confirmed,PY_Deceased,PY_Recovered,RJ_Confirmed,RJ_Deceased,RJ_Recovered,SK_Confirmed,SK_Deceased,SK_Recovered,TG_Confirmed,TG_Deceased,TG_Recovered,TN_Confirmed,TN_Deceased,TN_Recovered,TR_Confirmed,TR_Deceased,TR_Recovered,TT_Confirmed,TT_Deceased,TT_Recovered,UP_Confirmed,UP_Deceased,UP_Recovered,UT_Confirmed,UT_Deceased,UT_Recovered,WB_Confirmed,WB_Deceased,WB_Recovered
16/05/2022,0,0,1,5,0,8,0,0,0,0,0,2,3,0,3,1,0,9,3,0,4,377,1,910,0,0,0,11,0,8,33,0,25,6,0,7,218,0,428,0,0,4,2,0,6,98,0,149,321,18,299,0,0,0,0,0,0,129,0,121,0,0,1,0,0,4,23,0,31,22,0,24,0,0,0,7,0,17,18,0,25,1,0,1,69,0,34,0,0,0,28,0,62,31,0,58,0,0,0,1569,19,2467,138,0,186,11,0,1,14,0,39
16/05/2023,0,0,0,1,0,4,3,0,9,0,0,0,23,0,20,3,0,7,55,0,99,29,1,37,0,0,0,41,0,52,13,1,22,44,0,64,20,0,42,0,0,8,12,0,25,56,0,93,329,2,657,1,0,1,0,0,0,71,0,178,2,0,0,0,0,0,2,0,2,10,0,20,1,0,0,61,0,821,24,0,56,7,0,8,30,0,38,9,0,10,13,0,29,16,0,86,8,0,2,1021,4,2661,36,0,129,22,0,12,79,0,130
16/06/2020,3,0,0,264,2,128,4,0,0,201,0,206,148,1,345,8,0,1,69,0,91,1859,437,73,15,0,7,37,0,0,524,28,418,4,0,19,550,18,183,46,0,121,78,1,177,317,7,322,79,0,60,94,0,3,0,0,0,2701,1409,1802,0,0,2,10,0,8,148,11,249,4,0,0,2,0,15,108,0,120,104,1,18,14,0,4,235,7,177,0,0,0,213,4,261,1515,49,1438,1,0,123,11086,2004,7226,507,18,294,97,1,27,415,10,534
16/06/2021,26,1,30,6617,57,10228,250,0,289,3386,36,4881,370,9,730,41,2,63,573,12,1152,212,25,516,8,0,4,310,13,428,298,5,935,210,4,524,249,39,334,190,3,587,635,12,1649,7345,148,17913,13270,147,15689,33,0,47,42,0,79,10107,1236,10567,495,8,453,752,10,408,160,34,463,268,2,223,111,2,374,3535,44,5579,675,48,1383,430,6,597,280,9,928,147,1,420,1489,11,1436,10448,270,21058,536,5,596,67289,2329,103900,251,49,927,353,12,398,3187,69,2012
16/06/2022,1,0,0,39,0,24,1,0,1,15,0,10,40,0,23,35,0,25,0,0,0,1323,2,1016,0,0,0,112,0,67,228,0,117,26,0,51,625,0,375,23,0,13,22,0,16,833,1,458,3419,8,2156,0,0,0,0,0,0,4255,3,2879,31,0,0,0,0,1,60,0,53,21,0,42,0,0,1,41,0,17,92,0,40,19,0,5,115,0,65,3,0,1,285,0,65,552,0,177,0,0,0,12847,14,7985,413,0,209,20,0,17,198,0,61
16/06/2023,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,2,3,0,4,0,0,0,10,0,7,2,0,2,2,0,7,1,0,1,0,0,0,3,0,1,7,0,7,18,0,37,0,0,0,0,0,0,21,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,5,1,0,2,0,0,4,2,0,0,3,0,9,10,0,5,5,0,1,108,0,142,4,0,6,1,0,0,10,0,11
16/07/2020,4,0,3,2593,40,1015,52,0,0,892,2,666,1385,10,568,16,0,17,198,1,127,1652,58,1994,18,0,21,157,1,143,919,10,828,36,0,5,696,3,518,221,4,28,490,16,109,4169,104,1263,722,2,228,5,0,6,0,0,0,8641,266,5527,40,0,3,64,0,49,735,7,219,34,0,1,14,0,43,494,2,401,295,9,410,147,1,58,737,8,468,13,0,0,1676,10,1296,4549,69,5106,98,0,33,35468,680,22867,2058,34,932,197,0,47,1690,23,735
16/07/2021,4,0,1,2345,16,3001,443,2,356,1782,24,2656,90,1,104,6,0,15,312,3,358,66,1,79,3,0,7,120,4,236,39,0,70,126,2,138,46,8,40,55,0,51,221,1,208,1806,42,2748,13750,130,10697,6,0,9,10,0,20,7761,167,13452,441,5,264,1128,10,643,15,0,33,455,3,351,95,3,61,2070,64,2317,103,3,194,104,2,161,35,0,54,151,1,152,715,4,784,2312,46,2986,495,1,435,38117,560,43878,86,6,140,39,1,32,882,10,1025
16/07/2022,14,0,5,536,0,295,75,0,63,672,2,208,388,1,386,88,0,49,505,0,238,491,2,605,2,0,0,91,0,111,777,1,626,428,1,160,436,0,295,190,2,161,224,0,113,1374,3,777,2871,17,3162,14,0,7,0,0,0,2382,8,2853,35,0,11,94,0,29,180,0,126,175,0,44,6,0,7,1065,0,1066,264,3,175,211,1,120,220,0,82,114,0,39,608,0,663,2340,0,2599,290,1,37,20528,49,17790,411,0,362,118,1,53,2839,6,2263
16/07/2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,16,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,43,0,34,0,0,0,0,0,1,13,0,12
16/08/2020,93,4,98,8012,88,10117,43,0,37,1317,7,1929,2187,22,3891,93,1,19,576,8,189,652,8,1310,35,0,47,300,6,287,1120,20,959,163,0,88,743,10,662,552,15,566,449,15,267,7040,116,6680,1530,10,1099,39,4,49,0,0,0,11111,288,8837,82,0,79,179,3,194,1022,11,685,64,0,15,54,0,101,2924,10,1550,1165,41,568,378,4,219,1317,14,1350,19,0,12,1102,9,1930,5950,125,6019,127,5,63,58096,952,57404,4357,56,4201,235,1,352,3066,51,2935
16/08/2021,1,0,0,909,13,1543,165,0,249,758,10,1014,14,0,42,2,0,3,68,1,224,27,0,73,2,0,0,62,5,96,14,0,13,276,3,334,22,2,18,35,0,13,77,1,135,1065,28,1486,12294,142,18542,4,0,9,6,0,6,4145,100,5811,352,8,649,275,6,546,7,1,16,249,3,954,44,4,111,868,66,1167,30,2,48,49,0,86,11,0,44,20,0,147,405,3,577,1851,28,1911,52,1,223,24696,438,36871,17,1,36,18,1,54,502,9,691
