,estimate
0,0.01980879413225456
1,-0.0053036144586406965
2,-0.001588744112333095
3,3.640634024090975e-05
4,-0.0018246519019660644
5,0.002439464046302447
6,0.0016004543531034916
7,-0.003106448141886254
8,-0.00035782860017711875
9,-0.00268358677040182
10,0.003663273142139301
11,-0.00153109353101996
12,-0.004081621149135534
13,-0.002075587820271334
14,-0.00030198996159607654
15,0.03643947516619963
16,-0.0005964679274169298
17,0.0034834299353467247
18,0.015834348963234317
19,0.008041247115896495
20,0.011300294011698632
21,-0.004387098509597002
22,-0.004837451993127111
23,0.015126999088717303
24,-0.004565801120493563
25,0.02147057491657863
26,-0.0006947921945433795
27,-0.0015496211483848768
28,0.010092038614274964
29,-0.003937700755131309
30,0.011270203287046766
31,-0.0005768790356452988
32,0.0018948163164988893
33,-0.0010617111904352634
34,-0.002269732551055568
35,-0.0030502369639796877
36,0.00372291835339633
37,-0.0008295947556381769
38,-0.0006649683058307641
39,-0.0026038292354810103
40,-0.0013762247046530587
41,0.0015387320823291295
42,0.0012819440322871284
43,0.01358072214042043
44,0.008432841512909735
45,-0.006195023064785362
46,-0.01015091601635162
47,-0.011794745277883077
48,-0.01143015602931438
49,-0.010926238562596106
50,-0.009285445116288704
51,-0.007864819173592386
52,-0.006746958616844857
53,-0.003392668958849997
54,0.015424811271470764
55,-0.0022719390714050396
56,-0.00018590310950736873
57,0.0039053772858491076
58,0.00902665734256294
59,-0.0014519821140441234
60,-1.031510525157984e-06
61,1.1476055003473784e-07
62,-7.157984178637952e-07
