State,Lag_days,Correlation,p_value
Manipur,14,-0.18635371305695017,3.5297069753055194e-12
Manipur,21,-0.2582920431654898,3.1485729272206977e-22
Manipur,28,-0.3060581806026401,8.091448047762418e-31
Meghalaya,0,0.07815071719143218,0.0036113894217059505
Meghalaya,7,0.035467825281662244,0.1882293273958952
Meghalaya,14,-0.022422520836748644,0.40677285216349296
Meghalaya,21,-0.05168271928538463,0.056353647461694086
Meghalaya,28,-0.15799540878855048,4.869288316004534e-09
Mizoram,0,0.07983308201862155,0.002948095415748291
Mizoram,7,0.022093276848011437,0.4125071222170052
Mizoram,14,0.03042078555110699,0.26032468620617366
Mizoram,21,-0.0015673175369512859,0.9538826728021698
Mizoram,28,0.007098141267444237,0.7939074547725231
Nagaland,0,-0.000920969079433457,0.9726830053777771
Nagaland,7,0.03497193006116435,0.1944844651164774
Nagaland,14,0.03226870374074333,0.2324642898921072
Nagaland,21,-0.014538405715772511,0.5916310899918147
Nagaland,28,-0.045305063689410285,0.09526748984285181
Odisha,0,-0.010778832123419523,0.6885747209118876
Odisha,7,0.03533135160680639,0.1899358051198638
Odisha,14,0.06655281224008892,0.013711371281390107
Odisha,21,0.08278667276171,0.002213674930585673
Odisha,28,0.06800296190013105,0.012222648026031038
Puducherry,0,0.011735099483180564,0.6625832959989396
Puducherry,7,0.031663699719639934,0.24014300471244343
Puducherry,14,0.043963367697827604,0.10370857849021194
Puducherry,21,0.04191884985036035,0.12176120655276235
Puducherry,28,0.028192342606877363,0.2993705802192238
Punjab,0,-0.0395902785798217,0.14085284621867564
Punjab,7,-0.042970081856293904,0.11084659820989577
Punjab,14,-0.0536891951600532,0.04685914622826977
Punjab,21,-0.08814243868547045,0.0011193629076961709
Punjab,28,-0.09866821296715378,0.00027240041880663944
Rajasthan,0,0.08631117559848056,0.0013034349463843437
Rajasthan,7,0.09450995443615694,0.00044303434928068974
Rajasthan,14,0.11832149220824187,1.1203718049781541e-05
Rajasthan,21,0.04786893323238295,0.07717707911042787
Rajasthan,28,0.025590754419507776,0.34620059880261833
Sikkim,0,0.018372094957177343,0.49450028843479904
Sikkim,7,0.07524952007683015,0.005193224390647746
Sikkim,14,0.09326711888652309,0.0005446206323441231
Sikkim,21,0.056161509984067354,0.038087389223363896
Sikkim,28,0.005220399934081903,0.8476400047945825
Tamil Nadu,0,-0.07303262511856473,0.006545393178604903
Tamil Nadu,7,-0.029936702277141992,0.2667692527713085
Tamil Nadu,14,-0.005473716260200831,0.8395320828025687
Tamil Nadu,21,0.0009318959158286302,0.9725696830537024
Tamil Nadu,28,0.013963587589329496,0.6072978408536869
Telangana,0,0.06140145154690385,0.02230202419209607
Telangana,7,-0.01378271200837983,0.6092153239454083
Telangana,14,-0.06502843346073048,0.016033071557740995
Telangana,21,-0.08139999927248781,0.0026251287929198006
Telangana,28,-0.09297813319923343,0.0006050182255049461
Tripura,0,-0.00589780183420174,0.826421118857377
Tripura,7,0.06123787958166066,0.023007626486422312
Tripura,14,0.08291970162133856,0.0021208790141512006
Tripura,21,0.05956858072797289,0.027810752268773446
Tripura,28,-0.028479696325543622,0.2944699626664277
Uttar Pradesh,0,0.02833620820243459,0.29197078512023034
Uttar Pradesh,7,0.019328702262461,0.4734205232068052
Uttar Pradesh,14,0.0012608030267042738,0.9627991850386384
Uttar Pradesh,21,-0.017986002625270153,0.5068756845624809
Uttar Pradesh,28,-0.03832011787783945,0.15829358684102857
Uttarakhand,0,0.043621339058912675,0.10465346046351105
Uttarakhand,7,0.02510164537293868,0.3517967283811643
Uttarakhand,14,0.03292598657111724,0.22308363181360388
Uttarakhand,21,-0.001295949931813898,0.961860778982155
Uttarakhand,28,-0.011402325310724552,0.6747342114082017
West Bengal,0,0.025308950682415326,0.34660862374444323
West Bengal,7,0.0327255934430629,0.2247311862452345
West Bengal,14,0.04389866560497996,0.1042185492062498
West Bengal,21,0.017360134838541527,0.5217751947842483
West Bengal,28,0.00805010348485112,0.7670185070482547
