,estimate
0,0.023823799372476397
1,-0.007743121627700626
2,5.16384968327915e-05
3,-0.0004069908146541992
4,-0.0021038256747346116
5,-0.0009678459321671852
6,0.0027721315648482963
7,-0.0001567616189055215
8,0.0009457437253290187
9,-0.004829354716963724
10,0.0007757183539973025
11,-0.001677895176153989
12,-0.00019821732054993478
13,-0.0037792609095261475
14,1.7568732641177467e-05
15,0.026644810187397904
16,-0.008304863862981654
17,0.001230719540824276
18,0.010909142394263776
19,0.00655033383463623
20,0.011062544729872913
21,-0.0035437684960355257
22,-0.014837302138155688
23,0.007132379365033224
24,-0.0076342866788090165
25,0.03412586665439603
26,-0.0031085907251678303
27,0.0016361154568714882
28,0.00819922525381436
29,-0.006530665865595262
30,0.014407632747890541
31,0.008905583723233797
32,0.0033063727077986054
33,-0.0037002023402371237
34,-0.0027505931858697106
35,-0.0008012792337512559
36,0.0009710842239428934
37,0.00013425408106553676
38,-0.002877098735192386
39,-0.00015911215605947295
40,0.001324986766602857
41,-0.0008834278517131661
42,0.025945539602635223
43,0.04850187599215358
44,0.028368746204213268
45,-0.0043186105565212836
46,-0.012194302887496584
47,-0.013529811401453725
48,-0.013366599104549723
49,-0.012315742585652514
50,-0.011522525594345358
51,-0.009612440883615684
52,-0.007561263817482083
53,0.008287709669177343
54,-0.005524145689427225
55,-0.003544697782415946
56,-0.0020566639348091106
57,0.0046855353739346595
58,0.021464293668464033
59,-0.0030564861236962006
60,-1.644187630972748e-06
61,4.0057376706616767e-07
62,1.6537152450767967e-05
