,estimate
0,0.029482826336937284
1,-0.022743614476901895
2,-0.006622698943535045
3,0.0018380778625572418
4,0.00023661557472462458
5,-0.0017214121664001427
6,0.0018557294586711995
7,0.0037604491306768464
8,0.0027328580441853528
9,0.0017607353021743648
10,-0.0021605806264646775
11,0.006177415104340363
12,-4.9965633221875014e-05
13,-0.0005896979607732233
14,-0.001195737587614472
15,0.002494784801658067
16,0.03146879618982127
17,-0.00258326530028657
18,0.0034632172745733677
19,0.011523601212029435
20,0.006834951039678393
21,0.011757472156239637
22,-0.002457424182015675
23,-0.008774838472743315
24,0.007855515465132797
25,-0.006884122901608558
26,0.03443807127705016
27,-0.0011945903419569048
28,0.003238420930054943
29,0.010178921594250906
30,-0.006608261995224289
31,0.016004001462240104
32,0.007246166542952933
33,0.006346514392697699
34,-0.00411015505447296
35,-0.0024548609803260405
36,-0.0006410952018215633
37,0.0009550796318180115
38,0.00026480690183044845
39,-0.002788223751510613
40,-1.990082683134232e-05
41,0.001668050211981416
42,-0.0006122404786713474
43,0.026568121243829828
44,0.04982128922050014
45,0.03027906619589374
46,0.004290481486447696
47,-0.004649178452586904
48,-0.00710934689696946
49,-0.007713880275264567
50,-0.007392370780615082
51,-0.007376744457821461
52,-0.00656966014727044
53,-0.005306195447211255
54,0.009616636093630488
55,-0.004958563702417791
56,-0.0036041147026399526
57,-0.002879099260617701
58,0.002479441148118516
59,0.018428980918180904
60,-2.971361755589238e-06
61,2.667652318775157e-06
62,1.0300668426492358e-05
