,estimate
0,0.02009678395710674
1,-0.018069512706455362
2,-0.009842508597110246
3,-0.010787263081554217
4,-0.02030091324268321
5,-0.013496920492036778
6,0.00656092036643466
7,0.004275526365639766
8,-0.0036057550860024296
9,0.006842413120089404
10,0.0723519147858287
11,-0.006066385973742771
12,-0.011356223789372104
13,-0.008641338962170057
14,0.004801571273322173
15,-0.007856989647664344
16,-0.012248254788041885
17,-0.007907399114879973
18,-0.003741421249158611
19,-0.010528922656057704
20,-0.023562503773965487
21,0.01608547205388603
22,-0.015331526629591304
23,0.07336640065617259
24,-0.0035803378584394947
25,0.010028811186561343
26,0.0060722724750544126
27,-0.018173328538646893
28,0.007177619189215676
29,0.03421302790440416
30,0.008729498297585979
31,-0.012634061827109234
32,0.0008832732290985851
33,0.00985546348959274
34,0.009730803805188891
35,0.0015633776287711882
36,0.017481820526252898
37,0.003245794189968401
38,0.019908699985217868
39,0.0026612502440695636
40,0.0005456108142418913
41,0.000648528618372728
42,0.005340584291757633
43,0.006152814794447825
44,0.0050456134544077675
45,0.00021654386968446092
46,-0.005128943197053525
47,-0.006073579425033409
48,-0.018868911828252996
49,-0.019436007147372383
50,-0.02142929222975391
51,-0.028840538531054574
52,-0.017485586051745446
53,0.04449866659987192
54,0.08024248174946035
55,0.009637916680799705
56,-0.050336048947476925
57,0.005677652649740627
58,-6.222780172122112e-06
59,-7.154566720773946e-07
60,2.0963748638051178e-05
