State,Window,Lag_days,Correlation
Sikkim,7,21,0.05616150998406733
Sikkim,7,28,0.0052203999340818975
Tamil Nadu,7,0,-0.07303262511856473
Tamil Nadu,7,7,-0.029936702277142006
Tamil Nadu,7,14,-0.0054737162602007845
Tamil Nadu,7,21,0.000931895915828636
Tamil Nadu,7,28,0.013963587589329488
Telangana,7,0,0.06140145154690389
Telangana,7,7,-0.013782712008379808
Telangana,7,14,-0.06502843346073052
Telangana,7,21,-0.08139999927248778
Telangana,7,28,-0.09297813319923341
Tripura,7,0,-0.005897801834201754
Tripura,7,7,0.0612378795816607
Tripura,7,14,0.08291970162133849
Tripura,7,21,0.05956858072797293
Tripura,7,28,-0.02847969632554358
Uttar Pradesh,7,0,0.028336208202434602
Uttar Pradesh,7,7,0.01932870226246097
Uttar Pradesh,7,14,0.0012608030267042905
Uttar Pradesh,7,21,-0.017986002625270156
Uttar Pradesh,7,28,-0.03832011787783944
Uttarakhand,7,0,0.04362133905891263
Uttarakhand,7,7,0.02510164537293866
Uttarakhand,7,14,0.03292598657111718
Uttarakhand,7,21,-0.0012959499318139155
Uttarakhand,7,28,-0.011402325310724536
West Bengal,7,0,0.025308950682415374
West Bengal,7,7,0.03272559344306289
West Bengal,7,14,0.04389866560497996
West Bengal,7,21,0.01736013483854152
West Bengal,7,28,0.008050103484851112
Andaman and Nicobar Islands,14,0,0.07552270531438146
Andaman and Nicobar Islands,14,7,0.07119347356649099
Andaman and Nicobar Islands,14,14,-0.001717597588584554
Andaman and Nicobar Islands,14,21,-0.06861490246976087
Andaman and Nicobar Islands,14,28,-0.06059260614577081
Andhra Pradesh,14,0,-0.05673412091136082
Andhra Pradesh,14,7,-0.02938378278850872
Andhra Pradesh,14,14,-0.026870924331321926
Andhra Pradesh,14,21,-0.043945708727837575
Andhra Pradesh,14,28,-0.06168481772380266
Arunachal Pradesh,14,0,0.07146269179283286
Arunachal Pradesh,14,7,0.06928366499150435
Arunachal Pradesh,14,14,0.031098347973281055
Arunachal Pradesh,14,21,-0.03825116981771195
Arunachal Pradesh,14,28,-0.11088817496558633
Assam,14,0,-0.044505706517286865
Assam,14,7,-0.05269190087989503
Assam,14,14,-0.06152607484442476
Assam,14,21,-0.0513686361712967
Assam,14,28,-0.029277089354809206
Bihar,14,0,0.03335008362263641
Bihar,14,7,0.0424578958136528
Bihar,14,14,0.03491681864289922
Bihar,14,21,0.011800132165819053
Bihar,14,28,-0.014460776192459113
Chandigarh,14,0,0.07647624747074759
Chandigarh,14,7,0.08046075635419092
Chandigarh,14,14,0.07523601869167323
Chandigarh,14,21,0.05798891610673613
Chandigarh,14,28,0.031071759817672896
Chhattisgarh,14,0,0.278051728286379
Chhattisgarh,14,7,0.205981539229733
Chhattisgarh,14,14,0.10102726640855857
Chhattisgarh,14,21,-0.009282241864506872
Chhattisgarh,14,28,-0.1478471102854973
Dadra and Nagar Haveli and Daman and Diu,14,0,-0.018078845328417168
Dadra and Nagar Haveli and Daman and Diu,14,7,0.035703000043102805
Dadra and Nagar Haveli and Daman and Diu,14,14,0.0186362619266231
Dadra and Nagar Haveli and Daman and Diu,14,21,-0.03449736093019361
Dadra and Nagar Haveli and Daman and Diu,14,28,-0.06273086411588379
Delhi,14,0,0.04051302928130711
Delhi,14,7,0.030383412325025352
Delhi,14,14,0.004255357346705634
Delhi,14,21,-0.015044184861891482
Delhi,14,28,-0.04115118773078161
Goa,14,0,0.029414841421423196
Goa,14,7,0.042412796165584424
Goa,14,14,0.014471651653961842
Goa,14,21,-0.034232772285606214
Goa,14,28,-0.07817203207627481
Gujarat,14,0,0.02887015079592187
Gujarat,14,7,0.042894910961660614
