,estimate
0,0.03662725669971793
1,-0.004441921248864425
2,0.0002612203477087517
3,-0.005369971564192789
4,-0.012005378870182621
5,0.005218965074748006
6,0.00683293034238983
7,0.004484622008190924
8,0.00279705582396715
9,0.019277225299809804
10,0.02308418130739818
11,-0.010899950878303349
12,0.002855297549881906
13,0.0062444568761647985
14,0.030723473734146727
15,0.0185471562150159
16,0.005901829266347612
17,0.0003075513055896614
18,0.0033931513257047146
19,-0.005340471574919405
20,0.010211565180485355
21,0.019924722057911404
22,0.0023127800714590925
23,0.04471075686111706
24,0.0011136224467545412
25,0.0016525277184868672
26,0.02915822539295228
27,-0.005535975717292396
28,0.023522795017054822
29,0.02890977990664157
30,0.01273890336861901
31,-0.0010555378853078531
32,-0.00029190467247694474
33,-0.0015374745273336254
34,-0.002046324716855814
35,0.0067203759467686155
36,0.011275823242476545
37,0.002217927074779614
38,-0.0024879834837839383
39,0.002063173713434504
40,-0.0029215199058104666
41,-0.0036441484851625983
42,-0.0051554190739408
43,-0.002837530018205481
44,0.0013040375569006533
45,-0.0007832107597577065
46,-0.002003044256062138
47,0.004511543577055501
48,-0.001296062016125457
49,-0.0013806069659682242
50,-0.0041373924729387924
51,-0.003304508557090383
52,-0.0008161682781968578
53,-0.0030075228030672974
54,0.009556569413308897
55,0.006804315071517047
56,-0.007093333170758923
57,-0.0012471394160203024
58,-1.526544124564264e-05
59,8.905158122463409e-07
60,-1.5575251927307553e-05
