State,WeekStart,New_Confirmed_wk,New_Deceased_wk,Cases_lag,CFR,CFR_wins,InfectionWeek,Population,Cases_per100k,rollout_date,post_start,post_end,Uptake180_per100,CalendarWeek,EventWeek,post_start_w,post_end_w,Post,PostWeek,PreWeek
AN,2022-01-24,411,0,407.0,0.0,0.0,2022-01-03,401000,102.49376558603491,2021-01-16,2021-10-08,2022-01-06,2853.161097256858,2022-01-18/2022-01-24,50,37,50,True,13,
AP,2021-08-02,13846,136,17253.0,0.007882687068915551,0.007882687068915551,2021-07-12,52849000,26.199171223675,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-07-27/2021-08-02,25,37,50,False,0,0.0
AP,2021-08-09,11389,116,14669.0,0.007907832844774695,0.007907832844774695,2021-07-19,52849000,21.550076633427313,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-03/2021-08-09,26,37,50,False,0,1.0
AP,2021-08-16,8643,76,13697.0,0.005548660290574579,0.005548660290574579,2021-07-26,52849000,16.35414104334992,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-10/2021-08-16,27,37,50,False,0,2.0
AP,2021-08-23,9783,102,13846.0,0.007366748519427994,0.007366748519427994,2021-08-02,52849000,18.511230108422108,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-17/2021-08-23,28,37,50,False,0,3.0
AP,2021-08-30,9202,86,11389.0,0.007551145842479586,0.007551145842479586,2021-08-09,52849000,17.41187155859146,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-24/2021-08-30,29,37,50,False,0,4.0
AP,2021-09-06,8660,87,8643.0,0.010065949323151684,0.010065949323151684,2021-08-16,52849000,16.38630816098696,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-31/2021-09-06,30,37,50,False,0,5.0
AP,2021-09-13,8705,72,9783.0,0.007359705611775529,0.007359705611775529,2021-08-23,52849000,16.471456413555604,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-07/2021-09-13,31,37,50,False,0,6.0
AP,2021-09-20,8151,66,9202.0,0.007172353836122582,0.007172353836122582,2021-08-30,52849000,15.423186815266137,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-14/2021-09-20,32,37,50,False,0,7.0
AP,2021-09-27,5922,68,8660.0,0.007852193995381063,0.007852193995381063,2021-09-06,52849000,11.205510038032886,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-21/2021-09-27,33,37,50,False,0,8.0
AP,2021-10-04,4489,50,8705.0,0.005743825387708214,0.005743825387708214,2021-09-13,52849000,8.494011239569339,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-28/2021-10-04,34,37,50,False,0,9.0
