term,estimate,pvalue
Intercept,0.02822903715890686,0.0008962697792005084
C(State)[T.AP],-0.0083494578177018,0.00038516642182222536
C(State)[T.AR],-0.0015855341219002984,0.7510438275109329
C(State)[T.AS],-0.006260216000720579,5.419650708674754e-16
C(State)[T.BR],-0.013041424634626406,1.4417634849427616e-05
C(State)[T.CH],0.0005825742149146366,0.9203058492047224
C(State)[T.CT],0.007290764194217789,0.048952119585717976
C(State)[T.DL],0.005287045772253654,0.28400393300230004
C(State)[T.GJ],0.0014319537642711248,0.7360976031352496
C(State)[T.HP],0.016278864066811387,0.042789991659900085
C(State)[T.HR],0.023263659399940562,2.4093572113511295e-08
C(State)[T.JH],-0.007972709269437241,3.4222433627182897e-09
C(State)[T.JK],-0.00011343874191126701,0.9797357508928386
C(State)[T.KA],0.0014099788861924117,0.7084047067618361
C(State)[T.KL],0.020348645328357517,0.038956765937718615
C(State)[T.LA],0.013634474072234237,0.20385751823950135
C(State)[T.MH],-0.0002604061670175217,0.9119957836349539
C(State)[T.ML],-0.0007312468775124098,0.4735121722516855
C(State)[T.MN],0.0030974271822885907,0.0072506152873613415
C(State)[T.MP],-0.008626228438046321,0.0009000504208905591
C(State)[T.MZ],-0.0031154060607101216,0.8115838994562555
C(State)[T.NL],0.021395416811679148,4.877607046681554e-18
C(State)[T.OR],-0.00396636183903597,0.06689826159438371
C(State)[T.PB],0.05309866780658168,1.6452464130051433e-30
C(State)[T.PY],-0.0018890807331322017,0.6095228916596689
C(State)[T.RJ],0.004064560982785331,0.2811764603527098
C(State)[T.SK],0.021306599673830993,0.09811211705479057
C(State)[T.TN],-0.008948368513579708,2.465823898762852e-18
C(State)[T.TR],0.01988470164073001,0.05664447881861455
C(State)[T.UP],0.029146934707518432,8.501802804321386e-17
C(State)[T.UT],0.01186897716054408,0.016942104954387072
C(State)[T.WB],-0.003685754705900943,0.000861394585760598
C(CalendarWeek)[T.2021-08-03/2021-08-09],0.0008631725988662584,0.5298247499932591
C(CalendarWeek)[T.2021-08-10/2021-08-16],-0.001232257139800142,0.18328387051908354
C(CalendarWeek)[T.2021-08-17/2021-08-23],0.008266087684537559,0.2755948393734303
C(CalendarWeek)[T.2021-08-24/2021-08-30],0.009188206363943848,0.1892336921760525
C(CalendarWeek)[T.2021-08-31/2021-09-06],0.0028650697740548515,0.6034940906445592
C(CalendarWeek)[T.2021-09-07/2021-09-13],0.004151284449674595,0.47571214665773676
C(CalendarWeek)[T.2021-09-14/2021-09-20],0.00198606742389287,0.6880878708558336
C(CalendarWeek)[T.2021-09-21/2021-09-27],-8.043563406752397e-05,0.9679389290191323
C(CalendarWeek)[T.2021-09-28/2021-10-04],0.0003863911833846892,0.8672365772466206
C(CalendarWeek)[T.2021-10-05/2021-10-11],-0.00394064805255137,0.024492814196685836
C(CalendarWeek)[T.2021-10-12/2021-10-18],-0.00023088351433075017,0.905194899366812
C(CalendarWeek)[T.2021-10-19/2021-10-25],0.0016622817918834285,0.5455598493769146
C(CalendarWeek)[T.2021-10-26/2021-11-01],0.0030785337326819056,0.3718687783615098
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.0009006845486231663,0.6585867104276755
C(CalendarWeek)[T.2021-11-09/2021-11-15],-0.0007541896387598486,0.6582076964011767
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.0006581564406717849,0.7449723717681069
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.0046562106502219675,0.1311190577818294
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.009446603382590055,0.002279872572656374
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.00886072688207684,0.008694958998390331
C(CalendarWeek)[T.2021-12-14/2021-12-20],-0.008981644728858672,0.019350341659307033
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.01320931915376495,0.0018432103651064805
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.01110426843506592,0.0831349810323556
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.03270442968257996,0.004743275511253518
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.012598360136393736,0.06073153404373178
C(CalendarWeek)[T.2022-01-18/2022-01-24],-0.02183975873921414,0.0008317297701092429
PostWeek,0.001714046906505875,0.12047758830448073
Uptake180_per100,-1.1681568207982322e-05,0.042596133606292996
PostWeek:Uptake180_per100,1.0941576857287452e-07,0.8380943746411823
Cases_per100k,5.8457914210188915e-06,0.7925763587296905
