term,estimate,pvalue
Intercept,0.03662725669971793,2.3417356013779782e-07
C(State)[T.AP],-0.004441921248864425,0.002786530905961061
C(State)[T.AR],0.0002612203477087517,0.9483134398930655
C(State)[T.AS],-0.005369971564192789,1.1113611659583038e-13
C(State)[T.BR],-0.012005378870182621,2.762190497846706e-06
C(State)[T.CH],0.005218965074748006,0.47854837327565114
C(State)[T.CT],0.00683293034238983,0.006603766671425476
C(State)[T.DL],0.004484622008190924,0.21035462171210548
C(State)[T.GJ],0.00279705582396715,0.3274845925241856
C(State)[T.HP],0.019277225299809804,0.0008957353452257909
C(State)[T.HR],0.02308418130739818,2.2045920986452274e-14
C(State)[T.JH],-0.010899950878303349,2.7969757307966645e-19
C(State)[T.JK],0.002855297549881906,0.3383759787171524
C(State)[T.KA],0.0062444568761647985,0.017714327252618785
C(State)[T.KL],0.030723473734146727,0.00044818466170500634
C(State)[T.LA],0.0185471562150159,0.002302578080528439
C(State)[T.MH],0.005901829266347612,0.0011995642571268922
C(State)[T.ML],0.0003075513055896614,0.720886249806294
C(State)[T.MN],0.0033931513257047146,0.003969247120652739
C(State)[T.MP],-0.005340471574919405,0.0070848807697797755
C(State)[T.MZ],0.010211565180485355,0.3753930003151845
C(State)[T.NL],0.019924722057911404,5.721073433863866e-18
C(State)[T.OR],0.0023127800714590925,0.10784927944203439
C(State)[T.PB],0.04471075686111706,9.79329549850496e-34
C(State)[T.PY],0.0011136224467545412,0.6884610855279583
C(State)[T.RJ],0.0016525277184868672,0.4166228310852601
C(State)[T.SK],0.02915822539295228,0.0055223263841873375
C(State)[T.TN],-0.005535975717292396,5.688549526998636e-14
C(State)[T.TR],0.023522795017054822,0.0031277584245715893
C(State)[T.UP],0.02890977990664157,2.1907823451532673e-19
C(State)[T.UT],0.01273890336861901,0.00019919531557905187
C(State)[T.WB],-0.0010555378853078531,0.13452025453925984
C(CalendarWeek)[T.2021-07-27/2021-08-02],-0.00029190467247694474,0.8477946858971848
C(CalendarWeek)[T.2021-08-03/2021-08-09],-0.0015374745273336254,0.5089704278046197
C(CalendarWeek)[T.2021-08-10/2021-08-16],-0.002046324716855814,0.3055787488215236
C(CalendarWeek)[T.2021-08-17/2021-08-23],0.0067203759467686155,0.30838844314881647
C(CalendarWeek)[T.2021-08-24/2021-08-30],0.011275823242476545,0.18823402871013978
C(CalendarWeek)[T.2021-08-31/2021-09-06],0.002217927074779614,0.7507180318122545
C(CalendarWeek)[T.2021-09-07/2021-09-13],-0.0024879834837839383,0.2209605296749964
C(CalendarWeek)[T.2021-09-14/2021-09-20],0.002063173713434504,0.731680744526618
C(CalendarWeek)[T.2021-09-21/2021-09-27],-0.0029215199058104666,0.2943936408564679
C(CalendarWeek)[T.2021-09-28/2021-10-04],-0.0036441484851625983,0.24996570453500272
C(CalendarWeek)[T.2021-10-05/2021-10-11],-0.0051554190739408,0.08630076613587119
C(CalendarWeek)[T.2021-10-12/2021-10-18],-0.002837530018205481,0.3044097085488929
C(CalendarWeek)[T.2021-10-19/2021-10-25],0.0013040375569006533,0.7047637468985155
C(CalendarWeek)[T.2021-10-26/2021-11-01],-0.0007832107597577065,0.7850124470162891
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.002003044256062138,0.37438624715960656
C(CalendarWeek)[T.2021-11-09/2021-11-15],0.004511543577055501,0.16062982964670364
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.001296062016125457,0.5849721094243152
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.0013806069659682242,0.6392736175294292
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.0041373924729387924,0.07783033814379128
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.003304508557090383,0.2068014556765093
C(CalendarWeek)[T.2021-12-14/2021-12-20],-0.0008161682781968578,0.7380109607259682
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.0030075228030672974,0.17470942293418745
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.009556569413308897,0.00945140377873086
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.006804315071517047,0.03309555207122128
C(CalendarWeek)[T.2022-01-11/2022-01-17],-0.007093333170758923,0.05342759159321555
PostWeek,-0.0012471394160203024,0.1481453201671786
Uptake180_per100,-1.526544124564264e-05,0.0008524568122102163
PostWeek:Uptake180_per100,8.905158122463409e-07,0.06561974234712217
Cases_per100k,-1.5575251927307553e-05,0.4883727111519405
