term,estimate,pvalue
Intercept,0.04313484713251575,0.0005741148133743939
Post[T.True],-0.0396469185582021,0.03913234909108381
C(State)[T.AP],-0.011073434550466471,1.6748657991780857e-11
C(State)[T.AR],0.00139881093387791,0.6857756017497032
C(State)[T.AS],-0.0024196331271963125,0.12884502034539488
C(State)[T.BR],-0.004378614345130706,0.40171019609296443
C(State)[T.CH],-0.0008336907524590462,0.8157250159032545
C(State)[T.CT],0.008604011287380767,2.49516951859493e-09
C(State)[T.DL],0.011410143569128709,0.0034730606713791563
C(State)[T.DN],0.0029190779333112035,0.12402208788298648
C(State)[T.GJ],0.0018101011614567138,0.4099023292813112
C(State)[T.HP],0.008782375181607377,0.06200517707974072
C(State)[T.HR],0.00631383634039223,0.0006298892002057539
C(State)[T.JH],0.003948774854632501,0.019221639013626064
C(State)[T.JK],-0.004731987447180451,0.048242123249819885
C(State)[T.KA],0.0009454272831274763,0.7198707383750649
C(State)[T.KL],0.028015038918176957,0.00030090812185624776
C(State)[T.LA],-0.007655806798295006,0.2988722060516019
C(State)[T.LD],0.0026948062752448917,0.4986529483693479
C(State)[T.MH],0.009523220999509086,7.918827403945747e-09
C(State)[T.ML],0.0008345074777687705,0.6662893019969065
C(State)[T.MN],0.007941202155854563,3.160993696125156e-11
C(State)[T.MP],-0.0016869624891647115,0.23110598594133303
C(State)[T.MZ],-0.011672241323393265,0.3563364067668844
C(State)[T.NL],0.004851854444538026,0.10072858199438334
C(State)[T.OR],-0.0123507578078574,2.0871226485066185e-14
C(State)[T.PB],0.06114188134684389,9.888938285600537e-41
C(State)[T.PY],0.0047348923973986375,0.16464863321994536
C(State)[T.RJ],0.009721829849238972,1.5904954277731e-06
C(State)[T.SK],0.011922104968609272,5.991991152355361e-05
C(State)[T.TN],-0.01183103033203916,7.863506684092011e-15
C(State)[T.TR],0.017764541337603384,2.8544502115483552e-09
C(State)[T.UP],0.018254061275094047,3.6794369754556923e-10
C(State)[T.UT],0.011922599071534598,7.716490158599658e-05
C(State)[T.WB],-0.009834406233326532,3.279936823853626e-20
C(CalendarWeek)[T.2021-11-09/2021-11-15],-0.0004700919128317084,0.8756242116861115
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.0018801497108479424,0.5421331408697805
C(CalendarWeek)[T.2021-11-23/2021-11-29],0.0008665420501647834,0.8255710096780093
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.00343268153330797,0.29610241697533307
C(CalendarWeek)[T.2021-12-07/2021-12-13],0.00010491076560873672,0.9769223929157456
C(CalendarWeek)[T.2021-12-14/2021-12-20],0.0030348364622775335,0.5032840684143887
C(CalendarWeek)[T.2021-12-21/2021-12-27],-0.00031001392909352416,0.9258811060121412
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.016485824851893517,0.015978144158908435
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.08509438707065241,0.001418279627140398
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.12645074791946848,0.0011211723519327056
C(CalendarWeek)[T.2022-01-18/2022-01-24],0.05807773754257582,0.00013674376639449874
C(CalendarWeek)[T.2022-01-25/2022-01-31],0.006010435157676576,0.24263665153862893
C(CalendarWeek)[T.2022-02-01/2022-02-07],-0.0058448019789667065,0.007359474675308284
C(CalendarWeek)[T.2022-02-08/2022-02-14],-0.008511434668941897,0.00019897868437256797
C(CalendarWeek)[T.2022-02-15/2022-02-21],-0.00857138345989277,0.00036398863031454485
C(CalendarWeek)[T.2022-02-22/2022-02-28],-0.008667565220586778,0.0005515617556523542
C(CalendarWeek)[T.2022-03-01/2022-03-07],-0.00833979638137029,0.0012824160391002816
C(CalendarWeek)[T.2022-03-08/2022-03-14],-0.007090281436747797,0.0036179728713283087
C(CalendarWeek)[T.2022-03-15/2022-03-21],0.009199864042463533,0.5817287550441503
C(CalendarWeek)[T.2022-03-22/2022-03-28],-0.0074849233261121365,0.005242205593921393
C(CalendarWeek)[T.2022-03-29/2022-04-04],-0.007316760829944372,0.005010052766671605
C(CalendarWeek)[T.2022-04-05/2022-04-11],-0.006383288869599443,0.035078697179498824
C(CalendarWeek)[T.2022-04-12/2022-04-18],-0.003920317293180413,0.19003063698944522
C(CalendarWeek)[T.2022-04-19/2022-04-25],0.012380250914194722,0.19143703842608278
C(CalendarWeek)[T.2022-04-26/2022-05-02],0.004893084792674444,0.41276856295488973
Uptake270_per100,-5.558923013780173e-06,0.027736731185119795
Post[T.True]:Uptake270_per100,5.74040730429509e-06,0.09569814884715659
Cases_per100k,8.11623485435805e-06,0.8213366249249253
