term,estimate,pvalue
Intercept,0.022022749917225533,4.4804631348787554e-05
Post[T.True],-0.013067536442289527,0.06854777283201119
C(State)[T.AP],-0.004898442226454678,9.19903356095455e-08
C(State)[T.AR],-0.0009879071479658803,0.29659109835523406
C(State)[T.AS],0.0002486288761357749,0.5833687060906416
C(State)[T.BR],-0.0016273953892382677,0.26349090290116584
C(State)[T.CH],0.003518349699849325,0.03480149420993618
C(State)[T.CT],0.0019588567822516113,0.007606820914277326
C(State)[T.DL],-0.002122760192260047,0.036639063389866125
C(State)[T.DN],-0.0001757117374795025,0.8452267253526295
C(State)[T.GJ],-0.0017757210307978435,0.09145352739430371
C(State)[T.HP],0.005485281915937383,0.0033524220904441755
C(State)[T.HR],-0.0009589619444222218,0.36245335338143725
C(State)[T.JH],-0.0041950289629906976,2.759064969795625e-08
C(State)[T.JK],-0.0011921184491852418,0.2358484431129761
C(State)[T.KA],0.0005476315095336011,0.5421818475977184
C(State)[T.KL],0.03807769310711746,1.3480947112421055e-21
C(State)[T.LA],0.0013971283600230362,0.348985505334646
C(State)[T.LD],0.00416467385577553,0.033209979095778504
C(State)[T.MH],0.01608550387079082,2.752261672908954e-24
C(State)[T.ML],0.00812141598922107,3.471893751748331e-15
C(State)[T.MN],0.011531568937944848,3.719839282046185e-24
C(State)[T.MP],-0.003987256048854658,0.00048010174451665734
C(State)[T.MZ],-0.002756005779830672,0.4009692611529949
C(State)[T.NL],0.015360912225115039,7.437147439502705e-17
C(State)[T.OR],-0.004275508807798393,3.0551554826434643e-07
C(State)[T.PB],0.021605505416804168,2.1844665965736567e-29
C(State)[T.PY],-2.3107914359363473e-05,0.9846747904715116
C(State)[T.RJ],-0.000988902224296039,0.3864398903442978
C(State)[T.SK],0.010842468028949056,5.83186127134733e-15
C(State)[T.TN],-0.003907603493261556,2.670781801863867e-09
C(State)[T.TR],0.011841222283684852,1.4934808808257914e-19
C(State)[T.UP],-0.000952722141860833,0.5048891607600903
C(State)[T.UT],0.0029123638351114802,0.03122528018847831
C(State)[T.WB],-0.0011429574705532973,0.02826254990490198
C(CalendarWeek)[T.2021-10-26/2021-11-01],-0.0021696629315010236,0.3789707742036196
C(CalendarWeek)[T.2021-11-02/2021-11-08],-0.0029955141441496444,0.290141892814336
C(CalendarWeek)[T.2021-11-09/2021-11-15],0.0037172026935552932,0.26368250632129486
C(CalendarWeek)[T.2021-11-16/2021-11-22],-0.000775458491929569,0.7971997202523071
C(CalendarWeek)[T.2021-11-23/2021-11-29],-0.0006271172839237321,0.8510184057162329
C(CalendarWeek)[T.2021-11-30/2021-12-06],-0.0025417757699972903,0.3769002455496837
C(CalendarWeek)[T.2021-12-07/2021-12-13],-0.0012473158808722815,0.7002494999838755
C(CalendarWeek)[T.2021-12-14/2021-12-20],0.0016252638711218449,0.6540365475044448
C(CalendarWeek)[T.2021-12-21/2021-12-27],0.0013472603272142963,0.620561149265103
C(CalendarWeek)[T.2021-12-28/2022-01-03],0.013796478201514719,0.0027394550429020357
C(CalendarWeek)[T.2022-01-04/2022-01-10],0.008959495972905837,0.03134669158087792
C(CalendarWeek)[T.2022-01-11/2022-01-17],0.0021448173476138433,0.41003064015721247
C(CalendarWeek)[T.2022-01-18/2022-01-24],-0.0026715847181933753,0.17275067715254433
C(CalendarWeek)[T.2022-01-25/2022-01-31],-0.005265068768493654,0.0005621650508224459
C(CalendarWeek)[T.2022-02-01/2022-02-07],-0.005782145582630255,0.0015590823916325808
C(CalendarWeek)[T.2022-02-08/2022-02-14],-0.0060966740905908316,0.005304115076575487
C(CalendarWeek)[T.2022-02-15/2022-02-21],-0.0052729800859261395,0.01925503655283591
C(CalendarWeek)[T.2022-02-22/2022-02-28],-0.004747745786406666,0.026097844554709298
C(CalendarWeek)[T.2022-03-01/2022-03-07],-0.004440521040978595,0.03139147202710598
C(CalendarWeek)[T.2022-03-08/2022-03-14],-0.0019319152984298464,0.27480471703499465
C(CalendarWeek)[T.2022-03-15/2022-03-21],0.016085811100578103,0.37461264378410664
C(CalendarWeek)[T.2022-03-22/2022-03-28],-0.0023771975194785983,0.1867298830622626
C(CalendarWeek)[T.2022-03-29/2022-04-04],-0.0010866722119499432,0.5148584362976822
C(CalendarWeek)[T.2022-04-05/2022-04-11],0.0020363515483006888,0.564413254314653
C(CalendarWeek)[T.2022-04-12/2022-04-18],0.006337988664206544,0.24431116178895226
Uptake270_per100,-1.5362956344481953e-06,0.023077626118057065
Post[T.True]:Uptake270_per100,9.16519961134764e-07,0.29475753224897866
Cases_per100k,-2.9413625255251526e-06,0.786026809457107
