,estimate
0,0.04313484713251575
1,-0.0396469185582021
2,-0.011073434550466471
3,0.00139881093387791
4,-0.0024196331271963125
5,-0.004378614345130706
6,-0.0008336907524590462
7,0.008604011287380767
8,0.011410143569128709
9,0.0029190779333112035
10,0.0018101011614567138
11,0.008782375181607377
12,0.00631383634039223
13,0.003948774854632501
14,-0.004731987447180451
15,0.0009454272831274763
16,0.028015038918176957
17,-0.007655806798295006
18,0.0026948062752448917
19,0.009523220999509086
20,0.0008345074777687705
21,0.007941202155854563
22,-0.0016869624891647115
23,-0.011672241323393265
24,0.004851854444538026
25,-0.0123507578078574
26,0.06114188134684389
27,0.0047348923973986375
28,0.009721829849238972
29,0.011922104968609272
30,-0.01183103033203916
31,0.017764541337603384
32,0.018254061275094047
33,0.011922599071534598
34,-0.009834406233326532
35,-0.0004700919128317084
36,-0.0018801497108479424
37,0.0008665420501647834
38,-0.00343268153330797
39,0.00010491076560873672
40,0.0030348364622775335
41,-0.00031001392909352416
42,0.016485824851893517
43,0.08509438707065241
44,0.12645074791946848
45,0.05807773754257582
46,0.006010435157676576
47,-0.0058448019789667065
48,-0.008511434668941897
49,-0.00857138345989277
50,-0.008667565220586778
51,-0.00833979638137029
52,-0.007090281436747797
53,0.009199864042463533
54,-0.0074849233261121365
55,-0.007316760829944372
56,-0.006383288869599443
57,-0.003920317293180413
58,0.012380250914194722
59,0.004893084792674444
60,-5.558923013780173e-06
61,5.74040730429509e-06
62,8.11623485435805e-06
