State,WeekStart,New_Confirmed_wk,New_Deceased_wk,Cases_lag,CFR,CFR_wins,InfectionWeek,Population,Cases_per100k,rollout_date,post_start,post_end,Uptake180_per100,CalendarWeek,EventWeek,post_start_w,post_end_w,Post,PostWeek,PreWeek
AN,2022-01-31,138,0,407.0,0.0,0.0,2022-01-03,401000,34.413965087281795,2021-01-16,2021-10-08,2022-01-06,2853.161097256858,2022-01-25/2022-01-31,50,37,50,True,13,
AP,2021-08-09,11389,116,17253.0,0.006723468382310323,0.006723468382310323,2021-07-12,52849000,21.550076633427313,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-03/2021-08-09,25,37,50,False,0,0.0
AP,2021-08-16,8643,76,14669.0,0.005180993932783421,0.005180993932783421,2021-07-19,52849000,16.35414104334992,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-10/2021-08-16,26,37,50,False,0,1.0
AP,2021-08-23,9783,102,13697.0,0.007446886179455355,0.007446886179455355,2021-07-26,52849000,18.511230108422108,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-17/2021-08-23,27,37,50,False,0,2.0
AP,2021-08-30,9202,86,13846.0,0.006211180124223602,0.006211180124223602,2021-08-02,52849000,17.41187155859146,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-24/2021-08-30,28,37,50,False,0,3.0
AP,2021-09-06,8660,87,11389.0,0.007638949863903767,0.007638949863903767,2021-08-09,52849000,16.38630816098696,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-08-31/2021-09-06,29,37,50,False,0,4.0
AP,2021-09-13,8705,72,8643.0,0.008330440819160014,0.008330440819160014,2021-08-16,52849000,16.471456413555604,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-07/2021-09-13,30,37,50,False,0,5.0
AP,2021-09-20,8151,66,9783.0,0.006746396810794235,0.006746396810794235,2021-08-23,52849000,15.423186815266137,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-14/2021-09-20,31,37,50,False,0,6.0
AP,2021-09-27,5922,68,9202.0,0.00738969789176266,0.00738969789176266,2021-08-30,52849000,11.205510038032886,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-21/2021-09-27,32,37,50,False,0,7.0
AP,2021-10-04,4489,50,8660.0,0.005773672055427252,0.005773672055427252,2021-09-06,52849000,8.494011239569339,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-09-28/2021-10-04,33,37,50,False,0,8.0
AP,2021-10-11,3220,53,8705.0,0.006088454910970706,0.006088454910970706,2021-09-13,52849000,6.092830517133721,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-10-05/2021-10-11,34,37,50,False,0,9.0
AP,2021-10-18,3105,36,8151.0,0.004416635995583364,0.004416635995583364,2021-09-20,52849000,5.875229427236087,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-10-12/2021-10-18,35,37,50,False,0,10.0
AP,2021-10-25,2873,30,5922.0,0.005065856129685917,0.005065856129685917,2021-09-27,52849000,5.436242880659994,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-10-19/2021-10-25,36,37,50,False,0,11.0
AP,2021-11-01,1791,24,4489.0,0.005346402316774337,0.005346402316774337,2021-10-04,52849000,3.3889004522318302,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-10-26/2021-11-01,37,37,50,True,0,
AP,2021-11-08,1737,18,3220.0,0.0055900621118012426,0.0055900621118012426,2021-10-11,52849000,3.2867225491494634,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-11-02/2021-11-08,38,37,50,True,1,
AP,2021-11-15,1266,11,3105.0,0.003542673107890499,0.003542673107890499,2021-10-18,52849000,2.395504172264376,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-11-09/2021-11-15,39,37,50,True,2,
AP,2021-11-22,1380,12,2873.0,0.004176818656456666,0.004176818656456666,2021-10-25,52849000,2.6112130787715944,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-11-16/2021-11-22,40,37,50,True,3,
AP,2021-11-29,1106,14,1791.0,0.007816862088218872,0.007816862088218872,2021-11-01,52849000,2.0927548297981042,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-11-23/2021-11-29,41,37,50,True,4,
AP,2021-12-06,1138,14,1737.0,0.008059873344847437,0.008059873344847437,2021-11-08,52849000,2.1533046982913584,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-11-30/2021-12-06,42,37,50,True,5,
AP,2021-12-13,936,13,1266.0,0.010268562401263823,0.010268562401263823,2021-11-15,52849000,1.7710836534276901,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-12-07/2021-12-13,43,37,50,True,6,
AP,2021-12-20,688,11,1380.0,0.007971014492753623,0.007971014492753623,2021-11-22,52849000,1.3018221726049688,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-12-14/2021-12-20,44,37,50,True,7,
AP,2021-12-27,994,7,1106.0,0.006329113924050633,0.006329113924050633,2021-11-29,52849000,1.8808302900717135,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-12-21/2021-12-27,45,37,50,True,8,
AP,2022-01-03,4373,8,1138.0,0.007029876977152899,0.007029876977152899,2021-12-06,52849000,8.27451796628129,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2021-12-28/2022-01-03,46,37,50,True,9,
AP,2022-01-10,24421,5,936.0,0.005341880341880342,0.005341880341880342,2021-12-13,52849000,46.20901057730515,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2022-01-04/2022-01-10,47,37,50,True,10,
AP,2022-01-17,74354,32,688.0,0.046511627906976744,0.046511627906976744,2021-12-20,52849000,140.69140381085737,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2022-01-11/2022-01-17,48,37,50,True,11,
AP,2022-01-24,89857,64,994.0,0.06438631790744467,0.06438631790744467,2021-12-27,52849000,170.02592291244866,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2022-01-18/2022-01-24,49,37,50,True,12,
AP,2022-01-31,32964,58,4373.0,0.013263206037045507,0.013263206037045507,2022-01-03,52849000,62.37393328161365,2021-01-16,2021-10-08,2022-01-06,1584.5293591174857,2022-01-25/2022-01-31,50,37,50,True,13,
AR,2021-08-09,1278,10,3005.0,0.0033277870216306157,0.0033277870216306157,2021-07-12,1537000,83.14899154196486,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-08-03/2021-08-09,25,37,50,False,0,0.0
AR,2021-08-16,866,7,3045.0,0.0022988505747126436,0.0022988505747126436,2021-07-19,1537000,56.34352635003253,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-08-10/2021-08-16,26,37,50,False,0,1.0
AR,2021-08-23,656,1,2393.0,0.0004178854993731718,0.0004178854993731718,2021-07-26,1537000,42.680546519193236,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-08-17/2021-08-23,27,37,50,False,0,2.0
AR,2021-08-30,468,4,1810.0,0.0022099447513812156,0.0022099447513812156,2021-08-02,1537000,30.44892648015615,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-08-24/2021-08-30,28,37,50,False,0,3.0
AR,2021-09-06,394,6,1278.0,0.004694835680751174,0.004694835680751174,2021-08-09,1537000,25.634352635003253,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-08-31/2021-09-06,29,37,50,False,0,4.0
AR,2021-09-13,338,1,866.0,0.0011547344110854503,0.0011547344110854503,2021-08-16,1537000,21.990891346779442,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-09-07/2021-09-13,30,37,50,False,0,5.0
AR,2021-09-20,282,3,656.0,0.004573170731707317,0.004573170731707317,2021-08-23,1537000,18.347430058555627,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-09-14/2021-09-20,31,37,50,False,0,6.0
AR,2021-09-27,373,3,468.0,0.00641025641025641,0.00641025641025641,2021-08-30,1537000,24.268054651919325,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-09-21/2021-09-27,32,37,50,False,0,7.0
AR,2021-10-04,175,3,394.0,0.007614213197969543,0.007614213197969543,2021-09-06,1537000,11.385816525699415,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-09-28/2021-10-04,33,37,50,False,0,8.0
AR,2021-10-11,87,0,338.0,0.0,0.0,2021-09-13,1537000,5.660377358490566,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-10-05/2021-10-11,34,37,50,False,0,9.0
AR,2021-10-18,102,0,282.0,0.0,0.0,2021-09-20,1537000,6.636304489264802,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-10-12/2021-10-18,35,37,50,False,0,10.0
AR,2021-10-25,66,0,373.0,0.0,0.0,2021-09-27,1537000,4.2940793754066355,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-10-19/2021-10-25,36,37,50,False,0,11.0
AR,2021-11-01,25,0,175.0,0.0,0.0,2021-10-04,1537000,1.6265452179570592,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-10-26/2021-11-01,37,37,50,True,0,
AR,2021-11-15,27,0,102.0,0.0,0.0,2021-10-18,1537000,1.756668835393624,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2021-11-09/2021-11-15,39,37,50,True,2,
AR,2022-01-31,1397,5,215.0,0.023255813953488372,0.023255813953488372,2022-01-03,1537000,90.89134677944047,2021-01-16,2021-10-08,2022-01-06,2112.2746258946,2022-01-25/2022-01-31,50,37,50,True,13,
AS,2021-08-09,5799,105,13620.0,0.007709251101321586,0.007709251101321586,2021-07-12,35155000,16.495519840705448,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-08-03/2021-08-09,25,37,50,False,0,0.0
AS,2021-08-16,4535,84,11208.0,0.007494646680942184,0.007494646680942184,2021-07-19,35155000,12.900014222727918,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-08-10/2021-08-16,26,37,50,False,0,1.0
AS,2021-08-23,3884,64,8491.0,0.007537392533270522,0.007537392533270522,2021-07-26,35155000,11.048215047646138,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-08-17/2021-08-23,27,37,50,False,0,2.0
AS,2021-08-30,3662,59,7118.0,0.008288845181230683,0.008288845181230683,2021-08-02,35155000,10.416725928032996,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-08-24/2021-08-30,28,37,50,False,0,3.0
AS,2021-09-06,3125,52,5799.0,0.008967063286773581,0.008967063286773581,2021-08-09,35155000,8.889204949509315,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-08-31/2021-09-06,29,37,50,False,0,4.0
AS,2021-09-13,2863,46,4535.0,0.010143329658213893,0.010143329658213893,2021-08-16,35155000,8.143934006542455,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-09-07/2021-09-13,30,37,50,False,0,5.0
AS,2021-09-20,2651,46,3884.0,0.01184346035015448,0.01184346035015448,2021-08-23,35155000,7.540890342767743,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-09-14/2021-09-20,31,37,50,False,0,6.0
AS,2021-09-27,2286,38,3662.0,0.010376843255051884,0.010376843255051884,2021-08-30,35155000,6.502631204665055,2021-01-16,2021-10-08,2022-01-06,1056.5579121035414,2021-09-21/2021-09-27,32,37,50,False,0,7.0
