,estimate
0,0.028588968346472683
1,0.024988057431037443
2,-0.016009165411886822
3,-0.0051721034938584974
4,-0.010718916722117111
5,-0.02182857196624947
6,-0.010079481113965911
7,0.010037117111342466
8,0.008541198561665204
9,0.0004939108748075929
10,0.014109391309032117
11,0.07519052429353133
12,-0.005742835345305259
13,-0.007149431768009138
14,-0.005221498919662698
15,0.010952199972681445
16,-0.0035981990743191783
17,-0.010112135958838055
18,-0.007419275013935349
19,-0.0028098316643743837
20,-0.008469262525663594
21,-0.015990051003082976
22,0.015621528299818561
23,-0.013283329267731082
24,0.07450049574516154
25,-0.0007147089069062384
26,0.013275965788418229
27,0.01888973030446535
28,-0.01787624077203997
29,0.017535661968350963
30,0.03265344764545226
31,0.013059638167826671
32,-0.011624838872379393
33,0.0009148687553434832
34,0.00992428136142271
35,0.009740013117715232
36,0.001626991949978946
37,0.017638206892232926
38,0.0032431817138606285
39,0.019897029291443886
40,0.0027351117482493567
41,0.0012744142906331271
42,0.000671721472065501
43,0.005470159967680764
44,-0.019166164873591535
45,-0.015904894637724223
46,-0.01642569561169179
47,-0.017384378046004005
48,-0.013870450912514019
49,-0.022013292106531284
50,-0.018228399374391566
51,-0.016009808857301057
52,-0.01935234398017103
53,-0.003161700240963275
54,0.06375507511968799
55,0.10409338157310347
56,0.03753486012637812
57,-0.018878130747250508
58,-1.2538693130260342e-05
59,1.7089193974112546e-07
60,1.709870349139374e-05
