Updated On,State,Total Doses Administered
2021-01-16,MP,9435
2021-01-16,LD,16
2021-01-16,MH,5726
2021-01-16,MZ,105
2021-01-16,UT,511
2021-01-16,GA,50
2021-01-16,ML,102
2021-01-16,NL,94
2021-01-16,UP,2212
2021-01-16,PB,336
2021-01-16,MN,181
2021-01-16,JH,344
2021-01-16,AS,401
2021-01-16,CH,120
2021-01-16,AN,23
2021-01-16,JK,377
2021-01-16,SK,7
2021-01-16,AP,4216
2021-01-16,KA,3810
2021-01-16,HR,1864
2021-01-16,LA,9
2021-01-16,HP,202
2021-01-16,DN,23
2021-01-16,OR,3420
2021-01-16,TG,317
2021-01-16,WB,1917
2021-01-16,AR,81
2021-01-16,TR,107
2021-01-16,DL,892
2021-01-16,KL,1681
2021-01-16,PY,92
2021-01-16,BR,2967
2021-01-16,GJ,1146
2021-01-16,RJ,3285
2021-01-16,CG,1040
2021-01-16,TN,1167
2021-01-17,LA,9
2021-01-17,UP,2224
2021-01-17,KA,4506
2021-01-17,CH,120
2021-01-17,GA,50
2021-01-17,GJ,2313
2021-01-17,PY,92
2021-01-17,CG,1040
2021-01-17,DN,23
2021-01-17,TN,1745
2021-01-17,JH,344
2021-01-17,LD,17
2021-01-17,MH,6521
2021-01-17,KL,1836
2021-01-17,HR,2069
2021-01-17,MN,192
2021-01-17,ML,102
2021-01-17,BR,3700
2021-01-17,AR,178
2021-01-17,DL,1005
2021-01-17,TG,437
2021-01-17,PB,338
2021-01-17,NL,94
2021-01-17,TR,107
2021-01-17,MP,9435
2021-01-17,AP,9251
2021-01-17,WB,2085
2021-01-17,AN,23
2021-01-17,MZ,105
2021-01-17,OR,3536
2021-01-17,JK,421
2021-01-17,RJ,3455
2021-01-17,AS,466
2021-01-17,HP,202
2021-01-17,UT,556
2021-01-17,SK,7
2021-01-18,JH,749
2021-01-18,ML,58
2021-01-18,MZ,98
2021-01-18,CG,1656
2021-01-18,PB,678
2021-01-18,PY,128
2021-01-18,HP,352
2021-01-18,KL,2566
2021-01-18,TN,2861
2021-01-18,CH,158
2021-01-18,AS,722
2021-01-18,SK,7
2021-01-18,MH,6151
2021-01-18,NL,315
2021-01-18,TG,2463
2021-01-18,UT,517
2021-01-18,AR,560
2021-01-18,LD,237
2021-01-18,KA,14755
2021-01-18,MN,169
2021-01-18,GA,47
2021-01-18,WB,5060
2021-01-18,AP,12234
2021-01-18,MP,15934
2021-01-18,TR,230
2021-01-18,UP,1532
2021-01-18,OR,7591
2021-01-18,AN,42
2021-01-18,RJ,4037
2021-01-18,LA,64
2021-01-18,DL,1366
2021-01-18,DN,15
2021-01-18,JK,672
2021-01-18,BR,7883
2021-01-18,GJ,2182
2021-01-18,HR,5360
2021-01-19,MZ,259
2021-01-19,LD,622
2021-01-19,PY,249
2021-01-19,MP,18409
2021-01-19,CG,2014
2021-01-19,UP,1568
2021-01-19,BR,15546
2021-01-19,ML,170
2021-01-19,OR,14807
2021-01-19,WB,12364
2021-01-19,JH,1455
2021-01-19,NL,649
2021-01-19,MN,267
2021-01-19,KA,25142
2021-01-19,TG,11169
2021-01-19,MH,13699
2021-01-19,DN,31
2021-01-19,JK,1369
2021-01-19,LA,64
2021-01-19,HR,11728
2021-01-19,KL,5355
2021-01-19,GJ,4842
2021-01-19,UT,1141
2021-01-19,AN,89
2021-01-19,PB,1529
2021-01-19,HP,448
2021-01-19,GA,72
2021-01-19,AR,574
2021-01-19,SK,38
2021-01-19,CH,165
2021-01-19,RJ,13022
2021-01-19,TR,681
2021-01-19,AP,25539
2021-01-19,DL,3041
2021-01-19,TN,6154
2021-01-19,AS,1254
2021-01-20,DL,3041
2021-01-20,AR,601
2021-01-20,WB,14624
2021-01-20,CH,165
2021-01-20,BR,16183
2021-01-20,UP,1568
2021-01-20,PY,249
2021-01-20,SK,62
2021-01-20,JK,1369
2021-01-20,TR,687
2021-01-20,CG,3351
2021-01-20,AN,124
2021-01-20,ML,189
2021-01-20,MZ,291
2021-01-20,MN,426
2021-01-20,AS,1254
2021-01-20,UT,1141
2021-01-20,KA,36705
2021-01-20,LA,66
2021-01-20,GJ,4877
2021-01-20,RJ,13146
2021-01-20,TG,11291
2021-01-20,HR,12354
2021-01-20,JH,2258
2021-01-20,MH,23880
2021-01-20,OR,18568
2021-01-20,DN,31
2021-01-20,AP,35901
2021-01-20,LD,629
2021-01-20,HP,448
2021-01-20,NL,1070
2021-01-20,TN,9060
2021-01-20,GA,72
2021-01-20,MP,27769
2021-01-20,KL,5398
2021-01-20,PB,2432
2021-01-21,RJ,13605
2021-01-21,MP,38425
2021-01-21,AP,45040
2021-01-21,TG,17837
2021-01-21,PY,249
2021-01-21,JH,2258
2021-01-21,HR,21411
2021-01-21,MN,426
2021-01-21,LD,724
2021-01-21,UT,1874
2021-01-21,AR,1154
2021-01-21,AN,239
2021-01-21,KA,47344
2021-01-21,DN,78
2021-01-21,MZ,632
2021-01-21,CG,5752
2021-01-21,LA,66
2021-01-21,TN,15654
2021-01-21,ML,380
2021-01-21,DL,5308
2021-01-21,OR,45331
2021-01-21,CH,281
2021-01-21,KL,9175
2021-01-21,MH,24148
2021-01-21,GA,72
2021-01-21,UP,1578
2021-01-21,HP,610
2021-01-21,NL,1267
2021-01-21,GJ,8350
2021-01-21,JK,2296
2021-01-21,TR,1812
2021-01-21,BR,25254
2021-01-21,AS,2163
2021-01-21,WB,20206
2021-01-21,SK,186
2021-01-21,PB,4780
2021-01-22,HR,33730
2021-01-22,AS,3947
2021-01-22,DL,5331
2021-01-22,LA,164
2021-01-22,UT,3163
2021-01-22,GA,300
2021-01-22,HP,1427
2021-01-22,KL,15501
2021-01-22,BR,25773
2021-01-22,CH,507
2021-01-22,MH,44369
2021-01-22,MP,38425
2021-01-22,KA,77432
2021-01-22,OR,59241
2021-01-22,TN,23659
2021-01-22,AR,1818
2021-01-22,TG,24830
2021-01-22,PY,440
2021-01-22,CG,5807
2021-01-22,JK,3807
2021-01-22,GJ,13183
2021-01-22,AN,552
2021-01-22,TR,3321
2021-01-22,NL,1563
2021-01-22,JH,4023
2021-01-22,AP,55697
2021-01-22,WB,41970
2021-01-22,DN,113
2021-01-22,MZ,1494
2021-01-22,MN,693
2021-01-22,LD,734
2021-01-22,UP,21325
2021-01-22,RJ,24545
2021-01-22,PB,9676
2021-01-22,SK,296
2021-01-22,ML,525
2021-01-23,MH,69295
2021-01-23,CG,12185
2021-01-23,TN,31127
2021-01-23,ML,709
2021-01-23,AP,70380
2021-01-23,DL,12312
2021-01-23,JH,4117
2021-01-23,CH,790
2021-01-23,RJ,47915
2021-01-23,PY,813
2021-01-23,NL,1574
2021-01-23,UT,3238
2021-01-23,KL,21944
2021-01-23,HP,5396
2021-01-23,SK,299
2021-01-23,MP,38428
2021-01-23,BR,38409
2021-01-23,TG,26183
2021-01-23,LD,734
2021-01-23,UP,30644
2021-01-23,AS,4061
2021-01-23,MZ,1870
2021-01-23,GJ,44873
2021-01-23,AN,920
2021-01-23,JK,5593
2021-01-23,PB,16519
2021-01-23,OR,89092
2021-01-23,DN,280
2021-01-23,LA,330
2021-01-23,KA,84585
2021-01-23,HR,43350
2021-01-23,GA,971
2021-01-23,WB,43180
2021-01-23,MN,1097
2021-01-23,AR,2446
2021-01-23,TR,3349
2021-01-24,BR,38787
2021-01-24,LA,337
2021-01-24,GA,1033
2021-01-24,NL,1583
2021-01-24,HP,5594
2021-01-24,UP,43669
2021-01-24,JK,5893
2021-01-24,MN,1109
2021-01-24,AS,4416
2021-01-24,HR,44934
2021-01-24,PY,870
2021-01-24,CG,12506
2021-01-24,MP,38430
2021-01-24,MZ,1945
2021-01-24,MH,70196
2021-01-24,DL,12614
2021-01-24,CH,797
2021-01-24,AR,2529
2021-01-24,OR,93846
2021-01-24,AP,74221
2021-01-24,AN,966
2021-01-24,SK,309
2021-01-24,JH,4573
2021-01-24,GJ,46456
2021-01-24,KA,93426
2021-01-24,DN,312
2021-01-24,LD,749
2021-01-24,RJ,74727
2021-01-24,TN,35144
2021-01-24,UT,3592
2021-01-24,TR,3774
2021-01-24,PB,17712
2021-01-24,ML,713
2021-01-24,WB,46143
2021-01-24,KL,23324
2021-01-24,TG,27829
2021-01-25,OR,120698
2021-01-25,HP,6104
2021-01-25,SK,477
2021-01-25,UP,59780
2021-01-25,CH,1172
2021-01-25,CG,24018
2021-01-25,KL,43561
2021-01-25,MP,66875
2021-01-25,MN,1319
2021-01-25,PB,26017
2021-01-25,UT,7969
2021-01-25,LD,752
2021-01-25,DL,20373
2021-01-25,JH,8636
2021-01-25,WB,87815
2021-01-25,JK,10498
2021-01-25,BR,51676
2021-01-25,AS,10886
2021-01-25,MZ,3087
2021-01-25,ML,1249
2021-01-25,AR,3442
2021-01-25,NL,2447
2021-01-25,GA,1285
2021-01-25,GJ,62496
2021-01-25,RJ,141245
2021-01-25,KA,138721
2021-01-25,HR,72277
2021-01-25,TR,9693
2021-01-25,TN,41396
2021-01-25,MH,107073
2021-01-25,PY,1200
2021-01-25,AP,89879
2021-01-25,LA,461
2021-01-25,DN,362
2021-01-25,AN,1519
2021-01-25,TG,50646
2021-01-26,TG,51194
2021-01-26,AP,90616
2021-01-26,TN,46310
2021-01-26,DL,20427
2021-01-26,LA,461
2021-01-26,NL,2491
2021-01-26,DN,362
2021-01-26,CG,24120
2021-01-26,JH,8708
2021-01-26,MP,66877
2021-01-26,LD,752
2021-01-26,UP,62477
2021-01-26,WB,88627
2021-01-26,PB,26213
2021-01-26,AN,1519
2021-01-26,MH,107338
2021-01-26,PY,1205
2021-01-26,KA,140856
2021-01-26,HR,72583
2021-01-26,GJ,62729
2021-01-26,SK,490
2021-01-26,KL,43766
2021-01-26,HP,6188
2021-01-26,CH,1174
2021-01-26,JK,10626
2021-01-26,MN,1328
2021-01-26,AS,11021
2021-01-26,ML,1256
2021-01-26,OR,122870
2021-01-26,AR,3462
2021-01-26,UT,8052
2021-01-26,GA,1290
2021-01-26,MZ,3115
2021-01-26,TR,9946
2021-01-26,BR,51808
2021-01-26,RJ,141527
2021-01-27,RJ,218831
2021-01-27,AP,107999
2021-01-27,DL,27603
2021-01-27,UP,95724
2021-01-27,HR,80541
2021-01-27,MH,150102
2021-01-27,SK,964
2021-01-27,DN,404
2021-01-27,LA,642
2021-01-27,OR,130317
2021-01-27,AS,12407
2021-01-27,ML,1964
2021-01-27,WB,130937
2021-01-27,MP,131099
2021-01-27,HP,8859
2021-01-27,GJ,68817
2021-01-27,MZ,4782
2021-01-27,UT,9374
2021-01-27,LD,765
2021-01-27,AN,1519
2021-01-27,KL,58323
2021-01-27,BR,53222
2021-01-27,NL,3371
2021-01-27,TN,54195
2021-01-27,TR,12366
2021-01-27,JH,15269
2021-01-27,CG,36363
2021-01-27,KA,196089
2021-01-27,JK,11562
2021-01-27,CH,1519
2021-01-27,MN,1873
2021-01-27,TG,58306
2021-01-27,AR,3998
2021-01-27,GA,1844
2021-01-27,PB,33121
2021-01-27,PY,1274
2021-01-28,TG,78713
2021-01-28,SK,1431
2021-01-28,OR,145998
2021-01-28,AP,117543
2021-01-28,PB,39511
2021-01-28,ML,2609
2021-01-28,KL,82794
2021-01-28,JK,17280
2021-01-28,UP,268081
2021-01-28,HP,13883
2021-01-28,GA,2394
2021-01-28,NL,3485
2021-01-28,DN,559
2021-01-28,DL,35881
2021-01-28,LD,790
2021-01-28,AN,1956
2021-01-28,WB,161415
2021-01-28,BR,70412
2021-01-28,HR,87153
2021-01-28,MZ,5391
2021-01-28,CH,1821
2021-01-28,UT,14440
2021-01-28,LA,652
2021-01-28,MP,192628
2021-01-28,TR,16668
2021-01-28,CG,46869
2021-01-28,MN,1909
2021-01-28,TN,61290
2021-01-28,MH,189743
2021-01-28,JH,15617
2021-01-28,PY,1302
2021-01-28,RJ,239877
2021-01-28,KA,215875
2021-01-28,AS,21430
2021-01-28,GJ,132621
2021-01-28,AR,5470
2021-01-29,NL,3509
2021-01-29,JK,21124
2021-01-29,TN,66918
2021-01-29,OR,156711
2021-01-29,HR,92685
2021-01-29,PB,42210
2021-01-29,MH,225132
2021-01-29,LA,823
2021-01-29,GA,2752
2021-01-29,LD,807
2021-01-29,CG,47318
2021-01-29,KL,110719
2021-01-29,DN,706
2021-01-29,AS,29322
2021-01-29,TR,19513
2021-01-29,UT,20864
2021-01-29,AN,2024
2021-01-29,DL,35937
2021-01-29,WB,191566
2021-01-29,GJ,187038
2021-01-29,KA,234619
2021-01-29,CH,1874
2021-01-29,SK,1707
2021-01-29,UP,429946
2021-01-29,ML,2925
2021-01-29,JH,23685
2021-01-29,MN,2394
2021-01-29,TG,92418
2021-01-29,HP,17978
2021-01-29,AR,6106
2021-01-29,AP,124647
2021-01-29,RJ,302265
2021-01-29,BR,73181
2021-01-29,MZ,7065
2021-01-29,PY,1684
2021-01-29,MP,234631
2021-01-30,AS,30573
2021-01-30,UP,433040
2021-01-30,AN,2060
2021-01-30,SK,1707
2021-01-30,RJ,307923
2021-01-30,HR,95143
2021-01-30,GJ,211551
2021-01-30,AR,6491
2021-01-30,MH,233693
2021-01-30,CH,2206
2021-01-30,JH,31477
2021-01-30,DN,852
2021-01-30,HP,22787
2021-01-30,MP,284782
2021-01-30,BR,105751
2021-01-30,DL,44758
2021-01-30,MZ,7977
2021-01-30,TG,95000
2021-01-30,CG,57446
2021-01-30,LD,807
2021-01-30,KL,134225
2021-01-30,PB,45648
2021-01-30,TR,21342
2021-01-30,NL,3529
2021-01-30,TN,76934
2021-01-30,AP,133571
2021-01-30,LA,959
2021-01-30,KA,246438
2021-01-30,PY,2069
2021-01-30,OR,158329
2021-01-30,UT,23922
2021-01-30,JK,21261
2021-01-30,ML,3070
2021-01-30,WB,214018
2021-01-30,MN,2933
2021-01-30,GA,3464
2021-01-31,AS,30688
2021-01-31,HR,95245
2021-01-31,PB,45738
2021-01-31,MP,285481
2021-01-31,NL,3530
2021-01-31,MN,2947
2021-01-31,DL,44840
2021-01-31,TN,77809
2021-01-31,JH,31672
2021-01-31,MZ,7977
2021-01-31,SK,1709
2021-01-31,DN,856
2021-01-31,JK,21268
2021-01-31,TR,21367
2021-01-31,TG,95057
2021-01-31,GA,3466
2021-01-31,UT,26517
2021-01-31,AR,6525
2021-01-31,AP,133623
2021-01-31,BR,108889
2021-01-31,WB,214256
2021-01-31,PY,2077
2021-01-31,LA,959
2021-01-31,CG,57455
2021-01-31,HP,22798
2021-01-31,GJ,251207
2021-01-31,AN,2060
2021-01-31,CH,2217
2021-01-31,KL,140906
2021-01-31,MH,234150
2021-01-31,UP,434185
2021-01-31,KA,247613
2021-01-31,RJ,309565
2021-01-31,OR,158567
2021-01-31,LD,807
2021-01-31,ML,3076
2021-02-01,RJ,313321
2021-02-01,ML,3317
2021-02-01,UP,434549
2021-02-01,JK,21322
2021-02-01,MP,286538
2021-02-01,BR,144845
2021-02-01,HP,28464
2021-02-01,MZ,8462
2021-02-01,MH,275348
2021-02-01,KA,249931
2021-02-01,DL,52760
2021-02-01,AS,32329
2021-02-01,PB,47903
2021-02-01,UT,32705
2021-02-01,WB,238178
2021-02-01,TG,95234
2021-02-01,AN,2060
2021-02-01,TN,85002
2021-02-01,KL,173482
2021-02-01,DN,1038
2021-02-01,PY,2316
2021-02-01,TR,22996
2021-02-01,AP,133642
2021-02-01,NL,3535
2021-02-01,SK,1855
2021-02-01,CG,61482
2021-02-01,OR,159914
2021-02-01,MN,3321
2021-02-01,GA,3860
2021-02-01,AR,6668
2021-02-01,GJ,284170
2021-02-01,CH,2390
2021-02-01,HR,96304
2021-02-01,JH,39147
2021-02-01,LA,1065
2021-02-01,LD,807
2021-02-02,CG,64509
2021-02-02,GA,4720
2021-02-02,SK,2336
2021-02-02,ML,3451
2021-02-02,AS,34848
2021-02-02,CH,2492
2021-02-02,LD,807
2021-02-02,LA,1065
2021-02-02,BR,181290
2021-02-02,KL,204449
2021-02-02,DL,62086
2021-02-02,KA,250715
2021-02-02,TG,96413
2021-02-02,OR,161078
2021-02-02,AN,2060
2021-02-02,HR,97213
2021-02-02,JH,46900
2021-02-02,NL,3630
2021-02-02,TR,24202
2021-02-02,JK,21352
2021-02-02,MP,286868
2021-02-02,AR,6668
2021-02-02,DN,1181
2021-02-02,UP,435502
2021-02-02,RJ,319352
2021-02-02,PB,49663
2021-02-02,HP,34218
2021-02-02,AP,133646
2021-02-02,MZ,8462
2021-02-02,PY,2472
2021-02-02,WB,259341
2021-02-02,TN,91094
2021-02-02,GJ,306639
2021-02-02,MN,3614
2021-02-02,UT,39523
2021-02-02,MH,284107
2021-02-03,MZ,8525
2021-02-03,AS,36100
2021-02-03,TG,103183
2021-02-03,GJ,326450
2021-02-03,HR,99192
2021-02-03,RJ,343265
2021-02-03,UP,435645
2021-02-03,CH,2808
2021-02-03,LA,1342
2021-02-03,KA,251723
2021-02-03,MN,4683
2021-02-03,UT,50614
2021-02-03,HP,38734
2021-02-03,AR,6758
2021-02-03,KL,225664
2021-02-03,PY,2640
2021-02-03,JK,21478
2021-02-03,BR,219359
2021-02-03,TR,24413
2021-02-03,MH,318918
2021-02-03,LD,807
2021-02-03,OR,165753
2021-02-03,NL,3781
2021-02-03,WB,271828
2021-02-03,GA,5582
2021-02-03,MP,319623
2021-02-03,PB,52241
2021-02-03,JH,58991
2021-02-03,DL,69462
2021-02-03,SK,3084
2021-02-03,DN,1421
2021-02-03,CG,86044
2021-02-03,ML,3565
2021-02-03,AN,2107
2021-02-03,AP,161302
2021-02-03,TN,98750
2021-02-04,ML,4216
2021-02-04,AN,2290
2021-02-04,MN,4882
2021-02-04,MP,329571
2021-02-04,SK,3923
2021-02-04,KA,265577
2021-02-04,JK,27796
2021-02-04,GA,6532
2021-02-04,TN,107904
2021-02-04,CH,3150
2021-02-04,CG,115725
2021-02-04,PY,2640
2021-02-04,AR,7785
2021-02-04,DL,78948
2021-02-04,DN,1681
2021-02-04,AS,52645
2021-02-04,UP,555622
2021-02-04,WB,290908
2021-02-04,JH,66209
2021-02-04,NL,3958
2021-02-04,TR,27081
2021-02-04,HR,103334
2021-02-04,UT,59962
2021-02-04,GJ,360502
2021-02-04,MZ,8583
2021-02-04,AP,188704
2021-02-04,HP,43053
2021-02-04,PB,56208
2021-02-04,MH,352676
2021-02-04,LA,1342
2021-02-04,BR,263973
2021-02-04,KL,250831
2021-02-04,RJ,364452
2021-02-04,OR,186187
2021-02-04,LD,807
2021-02-04,TG,114647
2021-02-05,AP,218899
2021-02-05,SK,4857
2021-02-05,UP,636917
2021-02-05,HP,46401
2021-02-05,KL,266068
2021-02-05,JK,33899
2021-02-05,LA,1578
2021-02-05,GJ,404841
2021-02-05,DN,1931
2021-02-05,RJ,392138
2021-02-05,OR,190943
2021-02-05,PB,60878
2021-02-05,AR,8745
2021-02-05,TN,116857
2021-02-05,JH,77034
2021-02-05,NL,4068
2021-02-05,MZ,9110
2021-02-05,TR,29402
2021-02-05,AS,68628
2021-02-05,ML,4933
2021-02-05,CG,135072
2021-02-05,LD,825
2021-02-05,MH,397889
2021-02-05,PY,2984
2021-02-05,TG,121588
2021-02-05,MN,5638
2021-02-05,AN,2514
2021-02-05,CH,3511
2021-02-05,GA,7195
2021-02-05,HR,107280
2021-02-05,MP,331316
2021-02-05,DL,88045
2021-02-05,WB,314065
2021-02-05,UT,66129
2021-02-05,KA,295307
2021-02-05,BR,308439
2021-02-06,MN,6981
2021-02-06,SK,5089
2021-02-06,HR,108966
2021-02-06,TG,135977
2021-02-06,TR,32235
2021-02-06,BR,330327
2021-02-06,DN,2255
2021-02-06,GA,7460
2021-02-06,MP,332832
2021-02-06,PY,2984
2021-02-06,CG,153515
2021-02-06,HP,49335
2021-02-06,UT,70338
2021-02-06,AN,2780
2021-02-06,OR,220401
2021-02-06,KL,271731
2021-02-06,MH,436229
2021-02-06,LA,1817
2021-02-06,CH,3858
2021-02-06,AR,9288
2021-02-06,TN,126381
2021-02-06,AP,245938
2021-02-06,DL,97492
2021-02-06,PB,64399
2021-02-06,MZ,9470
2021-02-06,KA,321521
2021-02-06,JH,86786
2021-02-06,WB,323825
2021-02-06,ML,5585
2021-02-06,AS,78498
2021-02-06,LD,833
2021-02-06,GJ,448811
2021-02-06,RJ,434782
2021-02-06,JK,40909
2021-02-06,NL,4092
2021-02-06,UP,638107
2021-02-07,AS,80284
2021-02-07,MZ,9476
2021-02-07,AN,2780
2021-02-07,DL,97495
2021-02-07,CH,3858
2021-02-07,PB,64401
2021-02-07,GJ,468838
2021-02-07,DN,2255
2021-02-07,MP,333677
2021-02-07,CG,153531
2021-02-07,JK,41543
2021-02-07,TN,127289
2021-02-07,MN,7085
2021-02-07,LA,1817
2021-02-07,AR,9292
2021-02-07,NL,4093
2021-02-07,KA,325554
2021-02-07,JH,96697
2021-02-07,RJ,436384
2021-02-07,WB,323859
2021-02-07,KL,272221
2021-02-07,HR,110591
2021-02-07,BR,335765
2021-02-07,PY,2984
2021-02-07,LD,833
2021-02-07,ML,5585
2021-02-07,AP,249205
2021-02-07,TR,32289
2021-02-07,TG,136225
2021-02-07,UP,638805
2021-02-07,SK,5090
2021-02-07,HP,49338
2021-02-07,OR,223714
2021-02-07,UT,71384
2021-02-07,MH,436400
2021-02-07,GA,7462
2021-02-08,OR,255650
2021-02-08,PB,70250
2021-02-08,AS,91026
2021-02-08,JK,51872
2021-02-08,PY,3326
2021-02-08,MZ,9492
2021-02-08,AN,2780
2021-02-08,CH,4189
2021-02-08,HR,140415
2021-02-08,SK,5726
2021-02-08,MP,369141
2021-02-08,TG,156285
2021-02-08,JH,113951
2021-02-08,DL,107116
2021-02-08,DN,2329
2021-02-08,LD,839
2021-02-08,KL,287787
2021-02-08,GA,7800
2021-02-08,AP,263588
2021-02-08,ML,6394
2021-02-08,NL,4502
2021-02-08,BR,353743
2021-02-08,UT,76758
2021-02-08,UP,640144
2021-02-08,AR,10438
2021-02-08,HP,52715
2021-02-08,TR,37310
2021-02-08,TN,139024
2021-02-08,CG,168873
2021-02-08,GJ,537364
2021-02-08,MN,8785
2021-02-08,KA,350327
2021-02-08,MH,475193
2021-02-08,WB,346113
2021-02-08,LA,2064
2021-02-08,RJ,462139
2021-02-09,MN,9895
2021-02-09,PY,3728
2021-02-09,TG,171308
2021-02-09,MH,503757
2021-02-09,LA,2158
2021-02-09,CG,182898
2021-02-09,HR,157055
2021-02-09,RJ,467360
2021-02-09,OR,282491
2021-02-09,SK,6653
2021-02-09,MZ,9603
2021-02-09,AN,2780
2021-02-09,ML,7806
2021-02-09,JH,133247
2021-02-09,PB,75851
2021-02-09,UT,83729
2021-02-09,LD,869
2021-02-09,GA,8607
2021-02-09,AP,275654
2021-02-09,BR,373801
2021-02-09,DN,2567
2021-02-09,CH,4571
2021-02-09,GJ,617709
2021-02-09,TR,42999
2021-02-09,NL,5380
2021-02-09,AS,100295
2021-02-09,JK,63529
2021-02-09,DL,119917
2021-02-09,WB,372621
2021-02-09,UP,640845
2021-02-09,MP,373504
2021-02-09,TN,150915
2021-02-09,KL,302655
2021-02-09,KA,379152
2021-02-09,HP,56021
2021-02-09,AR,10465
2021-02-10,MH,544726
2021-02-10,GA,9656
2021-02-10,CH,5004
2021-02-10,OR,316166
2021-02-10,PB,80350
2021-02-10,TG,186195
2021-02-10,MZ,9642
2021-02-10,MP,427715
2021-02-10,ML,8557
2021-02-10,DL,134600
2021-02-10,MN,12509
2021-02-10,AP,286401
2021-02-10,HR,164151
2021-02-10,TR,45158
2021-02-10,UP,643010
2021-02-10,SK,7478
2021-02-10,BR,388881
2021-02-10,LA,2379
2021-02-10,AN,2780
2021-02-10,KL,306802
2021-02-10,AR,10529
2021-02-10,TN,162412
2021-02-10,LD,1312
2021-02-10,NL,6606
2021-02-10,PY,4135
2021-02-10,CG,201792
2021-02-10,AS,103044
2021-02-10,JH,152985
2021-02-10,HP,60848
2021-02-10,WB,396442
2021-02-10,DN,3309
2021-02-10,UT,89655
2021-02-10,RJ,534459
2021-02-10,KA,403105
2021-02-10,JK,65779
2021-02-10,GJ,683599
2021-02-11,TN,173368
2021-02-11,JK,83295
2021-02-11,TR,51453
2021-02-11,LD,1344
2021-02-11,AN,2780
2021-02-11,MP,482095
2021-02-11,UP,746208
2021-02-11,AS,109906
2021-02-11,DL,150348
2021-02-11,DN,3672
2021-02-11,NL,7779
2021-02-11,HP,66825
2021-02-11,RJ,566165
2021-02-11,OR,334559
2021-02-11,HR,171926
2021-02-11,CH,5480
2021-02-11,GA,11086
2021-02-11,BR,409263
2021-02-11,GJ,726174
2021-02-11,MN,14562
2021-02-11,KA,415241
2021-02-11,WB,421678
2021-02-11,SK,8022
2021-02-11,UT,97287
2021-02-11,PB,85911
2021-02-11,JH,167957
2021-02-11,CG,218958
2021-02-11,KL,314425
2021-02-11,AP,294574
2021-02-11,TG,198677
2021-02-11,PY,4144
2021-02-11,ML,10420
2021-02-11,AR,11372
2021-02-11,MZ,9642
2021-02-11,MH,579241
2021-02-11,LA,2597
2021-02-12,AR,12173
2021-02-12,WB,451987
2021-02-12,MP,519589
2021-02-12,MZ,9941
2021-02-12,NL,8510
2021-02-12,PY,4740
2021-02-12,BR,430554
2021-02-12,DL,164976
2021-02-12,JH,181722
2021-02-12,CG,234012
2021-02-12,UT,104337
2021-02-12,HP,73945
2021-02-12,CH,6056
2021-02-12,DN,3931
2021-02-12,JK,100823
2021-02-12,AP,303031
2021-02-12,ML,11614
2021-02-12,LA,2695
2021-02-12,AN,2852
2021-02-12,TR,57389
2021-02-12,HR,176310
2021-02-12,TN,184565
2021-02-12,KL,326974
2021-02-12,OR,350417
2021-02-12,MN,17996
2021-02-12,RJ,582386
2021-02-12,SK,8041
2021-02-12,UP,863157
2021-02-12,MH,620539
2021-02-12,TG,206864
2021-02-12,LD,1575
2021-02-12,GJ,749435
2021-02-12,GA,12743
2021-02-12,PB,90012
2021-02-12,KA,430303
2021-02-12,AS,117506
2021-02-13,CH,6826
2021-02-13,MH,652971
2021-02-13,WB,481827
2021-02-13,PY,5311
2021-02-13,BR,451761
2021-02-13,AN,3040
2021-02-13,HP,77192
2021-02-13,ML,12996
2021-02-13,AS,124056
2021-02-13,UP,864381
2021-02-13,KL,338167
2021-02-13,NL,9041
2021-02-13,DN,4131
2021-02-13,RJ,585570
2021-02-13,MP,548275
2021-02-13,GA,13586
2021-02-13,PB,92050
2021-02-13,LD,1575
2021-02-13,TN,195870
2021-02-13,AR,13707
2021-02-13,SK,8042
2021-02-13,CG,249169
2021-02-13,MZ,10254
2021-02-13,OR,360206
2021-02-13,MN,20866
2021-02-13,DL,180141
2021-02-13,JH,197934
2021-02-13,HR,178657
2021-02-13,KA,435685
2021-02-13,LA,2902
2021-02-13,AP,319740
2021-02-13,JK,118399
2021-02-13,TG,211719
2021-02-13,GJ,759801
2021-02-13,UT,110369
2021-02-13,TR,61844
2021-02-14,PY,5311
2021-02-14,MH,653305
2021-02-14,PB,92050
2021-02-14,CH,6829
2021-02-14,MN,21453
2021-02-14,KL,340452
2021-02-14,WB,485365
2021-02-14,TN,196467
2021-02-14,RJ,586110
2021-02-14,MP,548469
2021-02-14,AN,3040
2021-02-14,UT,111986
2021-02-14,BR,452991
2021-02-14,DN,4131
2021-02-14,JH,205424
2021-02-14,AP,319743
2021-02-14,DL,180143
2021-02-14,AS,124177
2021-02-14,LA,2902
2021-02-14,MZ,10440
2021-02-14,AR,13730
2021-02-14,TG,212538
2021-02-14,UP,864489
2021-02-14,ML,12997
2021-02-14,GA,13586
2021-02-14,HR,178664
2021-02-14,SK,8042
2021-02-14,CG,250235
2021-02-14,HP,77192
2021-02-14,LD,1575
2021-02-14,GJ,761555
2021-02-14,NL,9298
2021-02-14,KA,435835
2021-02-14,TR,61859
2021-02-14,JK,119015
2021-02-14,OR,360679
2021-02-15,HR,188482
